,e_angle,e_bond,e_dihedral,e_gb,e_elec,e_elec14,e_vdw,e_vdw14,e_tot
0.pdb,1.36553e+05,5.97467e+17,8.42456e+03,-8.66990e+03,-1.94165e+04,1.42418e+04,6.07870e+12,1.60602e+09,5.97473e+17
1.pdb,5.89796e+04,3.52525e+05,7.34914e+03,-8.12811e+03,-2.52437e+04,2.08481e+04,2.56036e+13,7.47169e+12,3.30753e+13
2.pdb,1.02098e+05,5.49139e+05,1.39478e+04,-5.90210e+03,-5.23075e+04,4.94302e+04,7.40491e+15,8.73567e+14,8.27848e+15
3.pdb,1.75502e+05,1.61586e+18,7.55978e+03,-1.73844e+04,-6.23359e+03,1.19469e+04,2.37421e+13,3.35157e+07,1.61589e+18
5.pdb,1.17239e+05,1.62752e+15,9.23632e+03,-9.25531e+03,-2.38870e+04,1.79517e+04,9.64013e+10,4.97358e+07,1.62762e+15
6.pdb,1.21875e+05,2.40303e+15,9.18187e+03,-9.03126e+03,-2.37335e+04,1.73701e+04,7.38585e+11,3.41497e+09,2.40377e+15
7.pdb,2.08741e+05,5.91398e+17,9.59564e+03,-1.19632e+04,-1.73874e+04,1.66622e+04,1.68953e+11,4.48067e+12,5.91403e+17
8.pdb,1.35478e+04,5.31014e+04,4.91665e+03,-3.88497e+03,-2.05467e+04,1.43456e+04,2.28144e+04,1.67392e+04,1.01033e+05
9.pdb,2.49926e+04,3.23392e+12,3.49673e+03,-2.36214e+03,-1.14541e+04,7.77442e+03,1.87675e+11,4.33887e+05,3.42160e+12
10.pdb,2.26335e+04,8.96118e+04,4.38420e+03,-3.10226e+03,-1.74012e+04,1.11116e+04,3.30028e+13,6.48357e+11,3.36512e+13
11.pdb,2.89634e+04,1.61240e+09,5.24675e+03,-3.86831e+03,-1.77445e+04,1.06883e+04,5.26746e+06,4.00091e+09,5.61860e+09
12.pdb,1.91637e+04,1.17372e+12,1.16819e+03,-9.03637e+02,-4.52478e+03,3.48138e+03,8.21377e+06,1.51817e+06,1.17373e+12
14.pdb,1.57942e+04,1.41869e+08,1.49895e+03,-2.75712e+03,-5.17206e+03,4.20851e+03,8.42298e+04,3.92854e+04,1.42006e+08
15.pdb,5.59359e+04,4.31801e+14,5.16556e+03,-4.29598e+03,-1.53810e+04,9.82246e+03,6.35905e+11,9.70992e+09,4.32446e+14
16.pdb,8.65749e+04,9.88926e+15,3.42047e+03,-5.29602e+03,-6.31753e+03,6.46387e+03,5.66232e+09,2.70156e+07,9.88927e+15
17.pdb,5.72159e+04,2.29861e+12,8.12640e+03,-6.08907e+03,-2.54920e+04,1.46212e+04,1.04181e+09,8.91891e+05,2.29966e+12
18.pdb,5.27925e+05,1.87519e+20,2.80966e+04,-2.14222e+04,-5.44515e+04,3.51966e+04,6.93199e+15,1.02746e+11,1.87526e+20
19.pdb,4.69731e+04,6.07414e+13,5.68613e+03,-5.29591e+03,-1.82318e+04,1.08340e+04,7.61414e+10,1.72333e+08,6.08177e+13
