Cluster Name	Count of Member
18020_Tm=38.1	816
16540_Tm=20.0	783
13268_Tm=25.0	381
29235_Tm=48.8	212
15685_Tm=58.1	197
17481_Tm=25.0	185
9834_Tm=25.0	182
21879_Tm=25.0	158
27797_Tm=44.0	151
24305_Tm=47.0	148
11679_Tm=38.0	147
5092_Tm=56.4	136
12965_Tm=15.0	132
23422_Tm=40.2	130
4889_Tm=25.0	125
25918_Tm=25.0	122
17775_Tm=25.0	115
21614_Tm=82.8	110
22093_Tm=82.2	104
14603_Tm=35.3	91
12642_Tm=25.0	91
17926_Tm=48.8	85
13754_Tm=52.0	84
9145_Tm=83.0	78
21069_Tm=41.6	78
21199_Tm=25.0	77
266_Tm=58.0	74
14136_Tm=25.0	68
28792_Tm=4.0	65
20065_Tm=43.4	62
28550_Tm=50.9	60
3105_Tm=22.0	58
7999_Tm=24.9	56
28271_Tm=91.3	40
28721_Tm=58.1	36
26641_Tm=47.4	35
16180_Tm=25.0	35
8813_Tm=10.0	34
6410_Tm=49.1	34
10878_Tm=25.0	34
4438_Tm=57.9	32
19304_Tm=63.8	32
17328_Tm=52.0	32
4375_Tm=20.0	30
28919_Tm=49.0	30
14500_Tm=50.1	30
26193_Tm=52.0	27
3318_Tm=25.0	27
28773_Tm=25.0	26
22211_Tm=9.9	26
10394_Tm=25.0	26
16050_Tm=40.3	25
6490_Tm=50.7	24
11984_Tm=68.0	24
27329_Tm=71.2	23
14552_Tm=69.2	22
12084_Tm=49.7	22
13878_Tm=57.3	22
16223_Tm=25.0	22
12307_Tm=46.0	21
9702_Tm=45.0	20
20783_Tm=25.0	20
10390_Tm=52.0	20
8600_Tm=42.8	19
3590_Tm=42.3	19
3266_Tm=50.7	19
20461_Tm=49.7	19
20274_Tm=33.9	19
14056_Tm=79.3	19
11721_Tm=41.2	18
7872_Tm=50.5	17
6530_Tm=43.9	17
3093_Tm=72.4	17
28321_Tm=37.0	17
21675_Tm=46.6	17
29449_Tm=52.1	16
30795_Tm=53.1	16
20614_Tm=43.4	16
22354_Tm=25.0	16
11710_Tm=46.4	16
13838_Tm=54.9	16
4022_Tm=72.2	15
429_Tm=39.8	15
28951_Tm=42.9	15
22713_Tm=25.0	15
15155_Tm=63.0	15
4683_Tm=39.8	14
7976_Tm=52.2	14
69_Tm=25.0	14
4332_Tm=25.0	14
29841_Tm=68.9	14
24162_Tm=58.2	14
24835_Tm=50.1	14
14818_Tm=59.9	14
4631_Tm=25.0	13
26769_Tm=88.4	13
24651_Tm=58.1	13
22695_Tm=52.1	13
10681_Tm=30.0	13
13854_Tm=46.3	13
9555_Tm=48.2	12
6215_Tm=73.8	12
25422_Tm=50.7	12
24783_Tm=50.2	12
22937_Tm=48.8	12
22257_Tm=55.8	12
13856_Tm=20.0	12
11432_Tm=34.4	12
6094_Tm=47.0	11
6570_Tm=25.0	11
6387_Tm=37.5	11
6477_Tm=39.7	11
7956_Tm=56.5	10
5591_Tm=62.9	10
5540_Tm=25.0	10
6679_Tm=20.0	10
6403_Tm=47.3	10
5811_Tm=39.9	10
3480_Tm=50.8	10
29544_Tm=46.1	10
27609_Tm=49.8	10
20923_Tm=48.9	10
24232_Tm=51.6	10
23030_Tm=25.0	10
21758_Tm=56.4	10
20872_Tm=35.3	10
21807_Tm=63.1	10
19458_Tm=52.3	10
1820_Tm=53.8	10
14116_Tm=45.2	10
11458_Tm=37.0	10
25630_Tm=43.9	9
3351_Tm=53.6	9
28791_Tm=49.5	9
29137_Tm=46.8	9
21922_Tm=82.8	9
21632_Tm=25.0	9
23951_Tm=53.3	9
20970_Tm=55.1	9
22898_Tm=45.1	9
16006_Tm=45.8	9
14300_Tm=25.0	9
11970_Tm=42.6	9
4510_Tm=47.6	8
5899_Tm=50.2	8
4552_Tm=40.4	8
6601_Tm=43.1	8
6904_Tm=44.2	8
3763_Tm=25.0	8
5951_Tm=40.6	8
6107_Tm=60.6	8
28289_Tm=57.2	8
28677_Tm=81.1	8
19861_Tm=37.0	8
22620_Tm=52.6	8
19999_Tm=50.8	8
20498_Tm=48.4	8
19068_Tm=25.0	8
23006_Tm=45.3	8
23877_Tm=46.4	8
11381_Tm=42.3	8
13914_Tm=69.9	8
1370_Tm=57.2	8
11521_Tm=47.0	8
6275_Tm=52.2	7
7904_Tm=47.7	7
6603_Tm=47.7	7
5357_Tm=38.3	7
8260_Tm=41.8	7
5581_Tm=46.3	7
6303_Tm=49.8	7
5747_Tm=48.4	7
6793_Tm=49.9	7
6022_Tm=2.8	7
8083_Tm=51.8	7
6072_Tm=43.0	7
8604_Tm=47.9	7
9404_Tm=38.7	7
9753_Tm=50.4	7
3369_Tm=40.2	7
29940_Tm=34.7	7
3490_Tm=44.4	7
25855_Tm=49.3	7
3195_Tm=42.8	7
28000_Tm=64.5	7
29195_Tm=49.7	7
28409_Tm=47.2	7
2971_Tm=43.9	7
27322_Tm=43.4	7
28079_Tm=25.0	7
28912_Tm=51.1	7
26451_Tm=55.3	7
23255_Tm=44.1	7
20102_Tm=41.0	7
23421_Tm=50.0	7
23995_Tm=46.9	7
24885_Tm=44.5	7
19873_Tm=38.0	7
25519_Tm=52.9	7
24894_Tm=34.2	7
19768_Tm=47.4	7
15313_Tm=38.9	7
14971_Tm=89.3	7
10711_Tm=38.1	7
15315_Tm=48.8	7
11894_Tm=75.6	7
16499_Tm=41.7	7
10295_Tm=52.5	7
12937_Tm=42.5	7
5426_Tm=42.3	6
5355_Tm=55.4	6
7333_Tm=48.2	6
5047_Tm=83.6	6
4772_Tm=52.0	6
5710_Tm=43.5	6
7298_Tm=55.5	6
4107_Tm=51.2	6
5914_Tm=35.2	6
3525_Tm=42.3	6
8244_Tm=36.8	6
5327_Tm=44.3	6
38_Tm=46.4	6
6700_Tm=53.2	6
5860_Tm=43.4	6
9497_Tm=48.1	6
3556_Tm=48.9	6
4239_Tm=25.0	6
28468_Tm=33.7	6
3029_Tm=54.5	6
25701_Tm=38.0	6
3509_Tm=45.1	6
30595_Tm=66.7	6
2919_Tm=37.1	6
2982_Tm=40.9	6
28341_Tm=45.1	6
30074_Tm=42.2	6
2923_Tm=38.0	6
30490_Tm=44.5	6
29283_Tm=44.7	6
31047_Tm=44.4	6
3491_Tm=45.9	6
26385_Tm=50.7	6
26562_Tm=46.8	6
26850_Tm=41.8	6
2896_Tm=51.8	6
27961_Tm=46.3	6
23214_Tm=25.0	6
18181_Tm=40.3	6
