Cluster name	Count - Sequences
18020_Tm=38.1_pH=2.0	816
16540_Tm=20.0_pH=7.0	783
13268_Tm=25.0_pH=2.7	308
19480_Tm=62.5_pH=8.0	211
15685_Tm=58.1_pH=3.0	196
17481_Tm=25.0_pH=6.3	185
27797_Tm=44.0_pH=	151
972_Tm=45.2_pH=7.0	150
24305_Tm=47.0_pH=7.0	148
10975_Tm=25.0_pH=8.0	136
12965_Tm=15.0_pH=7.8	132
5134_Tm=43.0_pH=5.0	131
23422_Tm=40.2_pH=7.5	130
25918_Tm=25.0_pH=6.2	122
17775_Tm=25.0_pH=7.0	115
9904_Tm=54.3_pH=7.2	112
26901_Tm=58.5_pH=6.0	106
22093_Tm=82.2_pH=8.0	104
14603_Tm=35.3_pH=7.0	91
12642_Tm=25.0_pH=7.0	91
17926_Tm=48.8_pH=7.0	85
13754_Tm=52.0_pH=7.5	84
9145_Tm=83.0_pH=5.5	78
21069_Tm=41.6_pH=7.5	78
266_Tm=58.0_pH=7.5	74
21199_Tm=25.0_pH=5.0	72
9834_Tm=25.0_pH=7.0	70
14136_Tm=25.0_pH=7.6	68
28792_Tm=4.0_pH=4.2	65
22386_Tm=66.8_pH=2.7	64
3688_Tm=49.6_pH=7.0	61
3105_Tm=22.0_pH=7.0	58
16173_Tm=80.9_pH=7.0	58
7999_Tm=24.9_pH=7.0	54
4051_Tm=25.0_pH=6.6	50
15415_Tm=55.0_pH=7.5	45
28271_Tm=91.3_pH=7.4	40
28721_Tm=58.1_pH=	36
16180_Tm=25.0_pH=5.0	35
8813_Tm=10.0_pH=7.2	34
10878_Tm=25.0_pH=5.0	34
10921_Tm=25.0_pH=7.5	32
4407_Tm=51.9_pH=5.5	31
19304_Tm=63.8_pH=7.0	31
4375_Tm=20.0_pH=8.4	30
28919_Tm=49.0_pH=7.5	30
25113_Tm=5.0_pH=5.3	28
26193_Tm=52.0_pH=7.0	27
26078_Tm=28.0_pH=5.5	27
3318_Tm=25.0_pH=8.5	26
22211_Tm=9.9_pH=5.7	26
10394_Tm=25.0_pH=7.5	26
16050_Tm=40.3_pH=7.0	25
11984_Tm=68.0_pH=6.0	24
27329_Tm=71.2_pH=7.0	23
16223_Tm=25.0_pH=7.0	22
13878_Tm=57.3_pH=7.2	22
14552_Tm=69.2_pH=6.5	21
12307_Tm=46.0_pH=7.0	21
9702_Tm=45.0_pH=3.0	20
20274_Tm=33.9_pH=7.6	19
14056_Tm=79.3_pH=9.0	19
28321_Tm=37.0_pH=8.0	17
20783_Tm=25.0_pH=7.8	17
8496_Tm=25.0_pH=6.0	16
22354_Tm=25.0_pH=8.0	16
16385_Tm=85.9_pH=7.8	16
13838_Tm=54.9_pH=8.0	16
22713_Tm=25.0_pH=7.0	15
69_Tm=25.0_pH=5.0	14
4332_Tm=25.0_pH=6.5	14
4022_Tm=72.2_pH=7.0	14
29841_Tm=68.9_pH=3.0	14
28773_Tm=25.0_pH=7.5	14
24162_Tm=58.2_pH=	14
24024_Tm=10.0_pH=7.5	14
15155_Tm=63.0_pH=5.4	14
4631_Tm=25.0_pH=7.0	13
26769_Tm=88.4_pH=7.4	13
19193_Tm=54.0_pH=7.0	13
11171_Tm=15.0_pH=7.0	13
10681_Tm=30.0_pH=7.0	13
9555_Tm=48.2_pH=8.5	12
6215_Tm=73.8_pH=	12
25831_Tm=46.2_pH=7.5	12
23315_Tm=51.5_pH=	12
22257_Tm=55.8_pH=7.5	12
21786_Tm=76.5_pH=7.5	12
15230_Tm=69.0_pH=7.4	12
14818_Tm=59.9_pH=5.0	12
863_Tm=20.0_pH=7.4	11
1366_Tm=51.7_pH=7.0	11
7956_Tm=56.5_pH=7.0	10
6679_Tm=20.0_pH=8.0	10
6653_Tm=25.0_pH=7.5	10
5540_Tm=25.0_pH=7.0	10
28550_Tm=50.9_pH=7.5	10
23030_Tm=25.0_pH=7.0	10
21807_Tm=63.1_pH=7.5	10
21758_Tm=56.4_pH=8.0	10
20923_Tm=48.9_pH=8.0	10
19458_Tm=52.3_pH=7.0	10
11432_Tm=34.4_pH=7.0	10
25793_Tm=72.3_pH=	9
24790_Tm=25.0_pH=7.5	9
22024_Tm=30.0_pH=8.0	9
21692_Tm=42.8_pH=7.0	9
21632_Tm=25.0_pH=7.0	9
14300_Tm=25.0_pH=8.0	9
11458_Tm=37.0_pH=7.0	9
8790_Tm=67.7_pH=7.0	8
24006_Tm=23.0_pH=7.5	8
2239_Tm=83.6_pH=4.5	8
21879_Tm=25.0_pH=7.0	8
19861_Tm=37.0_pH=7.4	8
19068_Tm=25.0_pH=6.8	8
13914_Tm=69.9_pH=8.25	8
11721_Tm=41.2_pH=7.0	8
6022_Tm=2.8_pH=7.5	7
5292_Tm=56.0_pH=7.5	7
3763_Tm=25.0_pH=8.0	7
3590_Tm=42.3_pH=7.0	7
28079_Tm=25.0_pH=7.4	7
28000_Tm=64.5_pH=7.4	7
21922_Tm=82.8_pH=7.5	7
11894_Tm=75.6_pH=10.0	7
7333_Tm=48.2_pH=7.4	6
7298_Tm=55.5_pH=4.5	6
7170_Tm=50.0_pH=7.0	6
4772_Tm=52.0_pH=7.0	6
4239_Tm=25.0_pH=7.5	6
30595_Tm=66.7_pH=2.5	6
23214_Tm=25.0_pH=7.2	6
21852_Tm=51.0_pH=7.4	6
20120_Tm=67.3_pH=7.0	6
15892_Tm=63.1_pH=8.0	6
14346_Tm=66.1_pH=7.0	6
5830_Tm=30.0_pH=7.0	5
5092_Tm=56.4_pH=5.0	5
30738_Tm=25.0_pH=7.0	5
29678_Tm=25.0_pH=7.0	5
24885_Tm=44.5_pH=7.4	5
19275_Tm=25.0_pH=7.0	5
14810_Tm=93.0_pH=7.4	5
14255_Tm=25.0_pH=7.5	5
10922_Tm=25.0_pH=7.3	5
8967_Tm=51.8_pH=7.0	4
7373_Tm=51.4_pH=7.0	4
6919_Tm=25.0_pH=7.0	4
5905_Tm=20.0_pH=7.4	4
5127_Tm=49.0_pH=7.0	4
4889_Tm=25.0_pH=6.0	4
4581_Tm=42.7_pH=7.0	4
28677_Tm=81.1_pH=7.0	4
28154_Tm=25.0_pH=7.0	4
27198_Tm=22.0_pH=7.4	4
23886_Tm=63.0_pH=7.0	4
23342_Tm=51.1_pH=7.5	4
22830_Tm=25.0_pH=7.1	4
21679_Tm=41.4_pH=7.0	4
21663_Tm=48.8_pH=7.0	4
19112_Tm=25.0_pH=7.8	4
10582_Tm=38.9_pH=6.8	4
10108_Tm=48.1_pH=7.0	4
9754_Tm=55.3_pH=7.0	3
9671_Tm=42.3_pH=7.0	3
9390_Tm=61.4_pH=8.0	3
8318_Tm=52.7_pH=7.0	3
7842_Tm=25.0_pH=9.0	3
7803_Tm=25.0_pH=7.8	3
7546_Tm=44.9_pH=7.0	3
7408_Tm=44.0_pH=7.0	3
6800_Tm=25.0_pH=7.2	3
6777_Tm=49.2_pH=7.0	3
6700_Tm=53.2_pH=7.0	3
6444_Tm=65.7_pH=7.0	3
5814_Tm=55.8_pH=7.0	3
5645_Tm=25.0_pH=7.2	3
4913_Tm=48.5_pH=7.0	3
4510_Tm=47.6_pH=7.0	3
3266_Tm=50.7_pH=7.0	3
29787_Tm=25.0_pH=7.0	3
