,e_angle,e_bond,e_dihedral,e_gb,e_elec,e_elec14,e_vdw,e_vdw14,e_tot
1,3586.25,3049.06,5717.52,-9756.74,-14527.5,8055.5,393.976,1251.33,-2230.55
2,16069.1,8760.07,11592.0,-9763.0,-29080.2,19272.1,7288.96,3020.4,27159.4
3,5626.49,3835.57,5081.04,-13197.0,-9482.97,11956.7,1430.05,1332.49,6582.38
5,2436.05,1478.64,5766.36,-6123.25,-23638.9,16200.2,-1293.86,1239.6,-3935.18
6,2262.48,1443.89,5612.59,-6100.29,-23535.7,15898.1,-1230.45,1208.35,-4440.98
7,3873.27,3075.75,6245.16,-5247.09,-19503.9,13343.7,938.848,1218.5,3944.24
8,449.147,142.09,3210.13,-4201.92,-20906.9,14497.0,-2171.68,859.574,-8122.53
9,599.478,91.4122,1946.27,-2407.13,-10875.2,7946.18,-1070.98,488.937,-3281.04
10,790.97,165.96,3141.48,-3950.65,-14468.5,8905.86,-1407.83,697.588,-6125.09
11,592.11,152.959,3107.31,-4128.34,-16674.2,10077.3,-1995.59,849.058,-8019.48
12,171.563,42.6407,673.055,-719.962,-3537.71,2484.16,-260.239,165.41,-981.082
14,290.715,53.6503,896.631,-2384.84,-5451.45,4129.63,-467.521,233.501,-2699.69
15,648.093,142.098,3203.37,-3272.61,-15242.2,9410.23,-1570.47,710.963,-5970.49
16,1453.6,1631.77,2055.9,-1610.01,-6670.41,4866.34,183.983,648.27,2559.45
17,1088.66,224.781,4734.28,-5930.86,-24731.1,14044.4,-2818.37,1186.19,-12202.0
18,13840.3,6016.7,17439.0,-12558.3,-56713.5,29941.4,1997.31,3806.49,3769.45
19,758.507,189.832,3489.33,-4949.91,-17861.6,10470.2,-2032.11,878.103,-9057.6
20,523.223,147.72,2668.12,-3358.74,-13560.7,8349.67,-1353.2,622.237,-5961.69
21,6870.25,2521.7,10575.4,-8773.15,-40975.8,26443.6,-1332.93,2705.09,-1965.83
22,899.779,208.258,2764.79,-4722.64,-12505.4,8190.74,-1307.91,617.857,-5854.55
23,488.302,119.586,2242.91,-1906.29,-12810.8,8098.48,-1327.01,677.099,-4417.75
24,5400.93,3557.69,6855.94,-5574.29,-20393.5,13289.6,1249.83,1554.5,5940.69
25,2389.54,434.708,7565.15,-7519.43,-32903.6,20991.1,-3348.91,1737.71,-10653.8
26,1431.3,286.758,4954.81,-4098.46,-26945.3,19235.9,-2560.41,1324.04,-6371.39
27,666.614,134.759,2814.61,-3402.9,-13681.9,8415.06,-1330.75,621.906,-5762.58
28,777.351,198.354,3677.82,-5210.18,-19307.3,10097.4,-2346.68,947.66,-11165.5
29,231.413,64.6903,1225.89,-2364.98,-7387.39,5289.75,-779.558,330.414,-3389.77
30,2317.93,2521.31,5343.83,-6204.65,-22165.2,15251.2,-841.528,1279.22,-2497.97
31,1622.53,259.028,4552.22,-5998.8,-21436.4,12675.3,-2519.42,1193.65,-9651.96
32,8838.07,7177.19,7228.92,-7718.73,-19365.3,14875.0,4534.37,1746.27,17315.8
33,2195.06,385.605,5301.72,-5467.02,-16009.0,7511.17,-1073.4,902.547,-6253.33
34,10495.9,2206.36,11061.7,-30441.0,-9068.61,16805.2,1467.61,2053.32,4580.5
35,687.859,152.276,2143.17,-3232.46,-9186.61,6055.53,-787.109,445.827,-3721.52
36,4434.77,4258.58,8007.9,-7291.47,-27822.5,18432.1,95.0145,1795.75,1910.09
37,844.353,157.603,2322.33,-1933.97,-9943.62,6226.13,-853.562,479.015,-2701.72
38,23448.8,1899360000.0,11255.4,-5877.65,-31754.4,21607.7,8879790.0,101433.0,1908360000.0
39,1806.1,300.98,5062.47,-9188.79,-21273.2,16787.7,-2173.52,1118.02,-7560.22
40,8482.6,6805.67,9987.12,-4744.79,-29153.5,17701.8,4200.56,2509.51,15789.0
41,3400.13,806.133,7910.86,-5369.36,-28160.5,16532.0,-2087.26,1580.71,-5387.2
42,4730.27,1228.88,6422.77,-5203.27,-20856.3,12055.6,-410.685,1321.12,-711.689
43,1247.81,273.011,4681.16,-5232.13,-22927.4,13419.9,-2351.05,1163.89,-9724.8
44,6787.3,3041.58,6682.56,-6260.88,-18444.3,8924.93,1214.64,1457.77,3403.56
