,tm,ph,sasa,charge,volume,helix,sheet,coil,n_phobic_contact,n_disulfide,n_saltbridge,n_hbond,n_pos-pos,n_pos-neutral,n_pos-special,n_pos-hydrophobic,n_neg-neg,n_neg-neutral,n_neg-special,n_neg-hydrophobic,n_neutral-neutral,n_neutral-special,n_neutral-hydrophobic,n_special-special,n_special-hydrophobic,e_angle,e_bond,e_dihedral,e_gb,e_elec,e_elec14,e_vdw,e_vdw14,e_tot
17775.pdb,25.0,7.0,5.8535434879898105,-6,20751,5876,2365,-1489,1510,4,3,34,149,540,281,972,185,596,311,1091,448,479,1695,119,860,56984.0,208398000000000.0,3299.0,-3761.54,-10409.5,8505.65,487618000.0,5196460.0,208398000000000.0
17776.pdb,25.0,7.0,5.8535434879898105,-6,20725,4938,2365,-1489,1510,4,3,34,149,540,281,972,185,596,311,1091,448,479,1695,119,860,45608.7,901443000000000.0,3108.55,-3350.43,-11101.9,8895.59,6067360000.0,15654800000000.0,917104000000000.0
17777.pdb,25.0,7.5,5.845442314895337,-6,20764,4883,2365,-1489,1510,4,3,34,149,540,281,972,185,596,311,1091,448,479,1695,119,860,50510.0,893977000000.0,3304.03,-3737.93,-10527.9,8508.74,2446580000.0,5327420.0,896429000000.0
17778.pdb,22.5,4.5,5.840298093908935,-6,20848,5414,2365,-1489,1563,4,3,31,149,522,281,990,185,576,311,1111,418,464,1672,119,875,43220.6,2515540000000000.0,2978.77,-3242.83,-10411.3,8721.81,375962000000000.0,81982200.0,2891500000000000.0
17779.pdb,25.0,7.0,5.840298093908935,-6,20848,5414,2365,-1489,1563,4,3,31,149,522,281,990,185,576,311,1111,418,464,1672,119,875,53953.6,2.67773e+17,3049.57,-3886.44,-10279.5,8396.55,98490000.0,2661430.0,2.67773e+17
17780.pdb,24.5,6.4,5.840298093908935,-6,20848,5414,2365,-1489,1563,4,3,31,149,522,281,990,185,576,311,1111,418,464,1672,119,875,43280.8,2611340000000000.0,2989.49,-3236.46,-10739.7,8722.04,6137080000.0,108608000.0,2611340000000000.0
17781.pdb,21.7,3.7,5.370822826826483,-6,20848,5414,2365,-1489,1566,4,3,31,149,523,281,989,185,576,311,1111,419,464,1668,119,875,46488.9,2.31289e+16,3133.5,-3282.15,-10669.2,8757.02,493010000000.0,145643000.0,2.31293e+16
17782.pdb,24.0,6.1,5.370822826826483,-6,20848,5414,2365,-1489,1566,4,3,31,149,523,281,989,185,576,311,1111,419,464,1668,119,875,44800.3,2.24485e+16,3081.75,-3348.87,-10623.7,8765.83,366322000.0,196974000.0,2.24485e+16
17783.pdb,20.0,2.0,5.370822826826483,-6,20848,5414,2365,-1489,1566,4,3,31,149,523,281,989,185,576,311,1111,419,464,1668,119,875,47951.6,2.11329e+16,3153.58,-3313.56,-10651.9,8765.8,796839000.0,166694000.0,2.11329e+16
17784.pdb,58.8,7.0,5.853991534074304,-6,20771,4879,2365,-2024,1565,4,3,33,149,522,281,990,185,577,311,1110,419,463,1669,119,876,44285.2,40088100000000.0,3139.72,-3104.84,-11081.2,8901.53,169706000000.0,555011000.0,40258300000000.0
17785.pdb,55.1,7.0,5.853991534074304,-6,20771,4879,2365,-2024,1565,4,3,33,149,522,281,990,185,577,311,1110,419,463,1669,119,876,54926.7,3016300000000000.0,3239.13,-3547.58,-10759.4,8958.42,7723510000000.0,5335180000.0,3024030000000000.0
17786.pdb,60.0,7.0,5.853991534074304,-6,20771,4879,2365,-2024,1565,4,3,33,149,522,281,990,185,577,311,1110,419,463,1669,119,876,44957.5,217709000000000.0,3182.52,-3131.95,-11055.1,8898.7,2714550000.0,361311000.0,217712000000000.0
17787.pdb,58.9,7.0,5.853991534074304,-6,20771,4879,2365,-2024,1565,4,3,33,149,522,281,990,185,577,311,1110,419,463,1669,119,876,44906.4,206256000000000.0,3192.57,-3104.79,-11064.9,8904.91,3197300000.0,704835000.0,206260000000000.0
17788.pdb,25.0,7.0,5.859498506987002,-6,20725,4879,2365,-1324,1510,4,3,34,149,540,281,972,185,596,311,1091,448,479,1695,119,860,54665.6,2.92733e+16,3045.58,-3547.99,-10929.5,8790.86,1389320000.0,20778300000.0,2.92733e+16
17789.pdb,25.0,7.0,5.90166896691313,-6,20653,4879,2365,-1648,1510,4,3,32,149,540,281,972,185,596,311,1091,448,479,1695,119,860,32933.0,731071000000000.0,3126.36,-2734.16,-11210.4,8718.77,349290000000000.0,2620550.0,1080360000000000.0
17790.pdb,67.9,7.5,5.7265237813233405,-6,20764,4879,2365,-1563,1510,4,3,32,149,540,281,972,185,596,311,1091,448,479,1695,119,860,57926.4,1194130000000000.0,3380.69,-4086.06,-9848.18,8352.23,28387000000.0,7190110.0,1194160000000000.0
17791.pdb,69.2,7.5,5.7265237813233405,-6,20764,4879,2365,-1563,1510,4,3,32,149,540,281,972,185,596,311,1091,448,479,1695,119,860,38369.6,20915100000000.0,3140.31,-2985.16,-11135.8,8716.84,5501070.0,2041280.0,20915200000000.0
17792.pdb,25.0,7.5,5.7265237813233405,-6,20764,4879,2365,-1563,1510,4,3,32,149,540,281,972,185,596,311,1091,448,479,1695,119,860,38363.1,20580400000000.0,3144.35,-2985.6,-11138.3,8717.53,4824370.0,3827840.0,20580500000000.0
17793.pdb,25.0,7.0,6.948983082973864,-6,20751,5876,2365,-1489,1510,4,3,34,149,540,281,972,185,596,311,1091,448,479,1695,119,860,45717.4,128790000000000.0,3122.87,-3395.41,-11056.3,8631.41,1507700000.0,108988000.0,128792000000000.0
17794.pdb,25.0,7.0,5.205375490391162,-7,20722,5462,2365,-1489,1563,4,3,33,133,510,266,935,185,596,311,1111,448,479,1725,119,875,62004.1,1.92966e+16,3342.0,-4496.46,-9493.03,8005.15,6.33673e+17,291915.0,6.52969e+17
17795.pdb,25.0,7.0,6.081767612898258,-6,20725,4938,2365,-1489,1510,4,3,34,149,540,281,972,185,596,311,1091,448,479,1695,119,860,40012.8,30877600000000.0,3132.54,-3100.84,-11017.2,8727.33,90148600000.0,626626000000.0,31594400000000.0
17796.pdb,25.0,7.0,4.759015782678034,-6,20801,5023,2365,-1489,1510,4,3,32,149,540,281,972,185,596,311,1091,448,479,1695,119,860,46275.4,124719000000000.0,3139.25,-3413.27,-10532.1,8751.1,515931000000.0,2085220000.0,125237000000000.0
17797.pdb,25.0,7.5,5.7464313088892975,-6,20764,4879,2365,-1563,1510,4,3,32,149,540,281,972,185,596,311,1091,448,479,1695,119,860,43509.9,4074350000000.0,3020.81,-3273.88,-10772.4,8931.05,91026000000.0,9384420000.0,4174760000000.0
17798.pdb,25.0,7.0,7.672454468214418,-6,20725,4938,2365,-1489,1510,4,3,34,149,540,281,972,185,596,311,1091,448,479,1695,119,860,44295.7,82555900000000.0,3094.03,-3115.52,-10940.4,8719.36,3047200000.0,1617420.0,82559000000000.0
17799.pdb,25.0,7.0,7.062897125685122,-6,20725,4938,2365,-1489,1510,4,3,34,149,540,281,972,185,596,311,1091,448,479,1695,119,860,47322.2,6794650000000.0,3098.06,-3479.4,-10819.0,8493.8,5272760000000.0,28474700.0,12067400000000.0
17800.pdb,25.0,7.0,5.374785006546883,-6,20764,4883,2365,-1489,1510,4,3,32,149,540,281,972,185,596,311,1091,448,479,1695,119,860,43603.5,18381400000000.0,3121.02,-3170.28,-11098.8,8983.1,49450000000.0,4909100000.0,18435700000000.0
17801.pdb,73.0,7.5,5.374785006546883,-6,20764,4883,2365,-1489,1510,4,3,32,149,540,281,972,185,596,311,1091,448,479,1695,119,860,41666.3,15379200000000.0,3118.33,-3090.46,-11307.9,9242.41,12177600000.0,207407000000000.0,222798000000000.0
17802.pdb,71.5,7.5,5.374785006546883,-6,20764,4883,2365,-1489,1510,4,3,32,149,540,281,972,185,596,311,1091,448,479,1695,119,860,57271.4,394590000000000.0,3174.87,-4393.35,-9714.22,8569.67,25672900000000.0,164149000000.0,420427000000000.0
17803.pdb,25.0,7.0,5.8535434879898105,-6,20774,4563,2365,-1489,1510,4,3,34,149,540,281,972,185,596,311,1091,448,479,1695,119,860,43728.0,40415100000000.0,3106.0,-3072.55,-10869.8,8853.86,294710000000000.0,603436000.0,335126000000000.0
17804.pdb,25.0,7.0,5.835756129527001,-6,20774,4563,2365,-1489,1510,4,3,34,149,540,281,972,185,596,311,1091,448,479,1695,119,860,48322.9,583218000000000.0,3171.64,-3479.89,-10829.8,8720.32,18322800000000.0,590247.0,601540000000000.0
17805.pdb,25.0,7.0,5.7434719600318935,-5,20811,4804,2365,-1489,1510,4,2,35,149,558,281,972,167,584,295,1036,478,495,1750,119,860,48461.1,8846830000000.0,3136.41,-3418.51,-10783.1,8629.96,238706000000000.0,300413.0,247553000000000.0
17806.pdb,25.0,7.0,5.85319126307266,-6,20774,4879,2700,-1489,1510,4,3,34,149,540,281,972,185,596,311,1091,448,479,1695,119,860,47802.6,618491000000000.0,3135.4,-3446.32,-10813.7,8567.48,18302400.0,11055300.0,618491000000000.0
17807.pdb,21.7,3.7,5.844552071986257,-6,20878,4198,2365,-1489,1510,4,3,34,149,540,281,972,185,596,311,1091,448,479,1695,119,860,38487.7,380812000000000.0,3139.95,-2993.06,-11096.7,8820.78,814671000.0,65391500.0,380812000000000.0
17808.pdb,24.0,6.1,5.844552071986257,-6,20878,4198,2365,-1489,1510,4,3,34,149,540,281,972,185,596,311,1091,448,479,1695,119,860,43482.1,2610880000000000.0,3163.49,-3387.56,-10556.6,8642.23,41082500000.0,328123.0,2610920000000000.0
17809.pdb,21.7,3.7,5.8533241851604565,-6,20831,3663,2365,-1489,1455,4,3,35,149,557,281,955,185,616,311,1071,478,494,1720,119,845,54679.5,10777200000000.0,3263.48,-3795.33,-10070.9,8229.91,171437000.0,3527900.0,10777300000000.0
17810.pdb,24.0,6.1,5.8533241851604565,-6,20831,3663,2365,-1489,1455,4,3,35,149,557,281,955,185,616,311,1071,478,494,1720,119,845,38907.5,1376120000000.0,3152.37,-2944.42,-11184.7,8770.28,2233080000000.0,13739200000.0,3622940000000.0
17811.pdb,25.0,7.0,5.838752797932834,-6,20821,5098,2365,-1489,1563,4,3,31,149,522,281,990,185,576,311,1111,418,464,1672,119,875,57688.3,1042140000000000.0,3207.57,-4314.18,-9592.18,8274.89,773731000.0,4938210.0,1042140000000000.0
17812.pdb,60.9,7.7,2.772629852333344,-6,20710,3570,2365,-1376,1506,4,2,33,134,527,281,917,166,585,316,1043,476,525,1753,134,911,45079.3,1544600000000.0,3024.1,-3983.88,-10133.4,8433.5,58448100000.0,23414600.0,1603070000000.0
17813.pdb,56.2,7.4,3.430278379359517,-7,20698,4330,2365,-1376,1510,4,3,33,118,498,264,861,185,617,332,1095,476,525,1750,134,912,44125.2,25807300000000.0,3020.86,-3564.94,-10431.8,8604.61,38884600.0,479025000000.0,26286300000000.0
17814.pdb,56.0,7.4,3.430278379359517,-7,20698,4330,2365,-1376,1510,4,3,33,118,498,264,861,185,617,332,1095,476,525,1750,134,912,47576.7,241977000000000.0,3100.58,-3957.97,-9955.97,8334.86,72915400.0,6940910000.0,241984000000000.0
17815.pdb,44.6,7.4,3.430278379359517,-7,20698,4330,2365,-1376,1510,4,3,33,118,498,264,861,185,617,332,1095,476,525,1750,134,912,47515.4,245167000000000.0,3100.54,-3952.06,-9963.88,8323.26,152766000.0,3837020000.0,245171000000000.0
17816.pdb,51.7,7.4,3.8145892113831374,-7,20723,3387,728,-1376,1455,4,3,34,134,527,281,900,185,617,332,1075,476,525,1721,134,895,48869.8,2.77406e+17,3124.42,-3918.16,-9792.19,8419.69,2944380000000.0,112706000.0,2.77409e+17
17817.pdb,56.2,7.4,3.8145892113831374,-7,20723,3387,728,-1376,1455,4,3,34,134,527,281,900,185,617,332,1075,476,525,1721,134,895,48909.9,2.22114e+17,3119.72,-3907.61,-9814.59,8416.49,1171370000000.0,112544000.0,2.22115e+17
17818.pdb,56.0,7.4,3.8145892113831374,-7,20723,3387,728,-1376,1455,4,3,34,134,527,281,900,185,617,332,1075,476,525,1721,134,895,44381.1,2.34528e+17,3060.44,-3535.6,-10303.6,8508.37,214589000.0,1569750.0,2.34528e+17
17819.pdb,56.2,7.4,3.960121006408011,-7,20697,3387,593,-1376,1402,4,3,34,134,527,298,883,185,617,352,1055,476,555,1691,151,931,44438.5,32876000000000.0,3227.56,-3631.46,-10444.1,8480.22,1618680000.0,101408000.0,32877800000000.0
17820.pdb,56.0,7.4,3.960121006408011,-7,20697,3387,593,-1376,1402,4,3,34,134,527,298,883,185,617,352,1055,476,555,1691,151,931,58041.0,690544000000000.0,3217.37,-4507.01,-9252.21,8229.04,6940500000000000.0,2786750000.0,7631040000000000.0
17821.pdb,51.0,7.4,3.960121006408011,-7,20697,3387,593,-1376,1402,4,3,34,134,527,298,883,185,617,352,1055,476,555,1691,151,931,44613.7,49102700000000.0,3224.94,-3710.85,-10394.6,8483.48,83193000.0,84800300.0,49102900000000.0
17822.pdb,56.0,7.4,4.055033046641624,-7,20766,3387,635,-1376,1402,4,3,35,134,544,281,883,185,637,332,1055,506,542,1744,134,878,46709.5,7228720000000000.0,3055.22,-3789.42,-10389.5,8424.1,104312000.0,3270320000000000.0,1.0499e+16
17823.pdb,55.1,7.4,4.055033046641624,-7,20766,3387,635,-1376,1402,4,3,35,134,544,281,883,185,637,332,1055,506,542,1744,134,878,47342.9,8784290000000000.0,3046.91,-3816.73,-10364.3,8331.31,355895000000.0,152027000000.0,8784800000000000.0
17824.pdb,56.2,7.4,4.055033046641624,-7,20766,3387,635,-1376,1402,4,3,35,134,544,281,883,185,637,332,1055,506,542,1744,134,878,47161.0,7900130000000000.0,3047.79,-3814.48,-10321.2,8429.66,2740660000000.0,1.0294e+16,1.81969e+16
17825.pdb,56.2,7.4,2.835501757153546,-7,20704,3387,2365,-1465,1508,4,3,32,134,510,281,917,185,597,332,1095,446,508,1698,134,912,43827.9,7353520000000000.0,3082.33,-3577.55,-11156.2,8951.11,143664000.0,32562300.0,7353520000000000.0
17826.pdb,56.0,7.4,2.835501757153546,-7,20704,3387,2365,-1465,1508,4,3,32,134,510,281,917,185,597,332,1095,446,508,1698,134,912,48094.4,5.12115e+16,3127.69,-3762.7,-10534.9,8565.19,179532000.0,61924700000.0,5.12116e+16
17827.pdb,54.3,7.4,2.835501757153546,-7,20704,3387,2365,-1465,1508,4,3,32,134,510,281,917,185,597,332,1095,446,508,1698,134,912,48147.5,5.02937e+16,3128.68,-3763.31,-10546.0,8568.44,194982000.0,68866700000.0,5.02937e+16
17828.pdb,45.5,7.4,3.1253717685129985,-7,20662,4265,2365,-1376,1455,4,3,32,134,527,281,900,185,617,332,1075,476,525,1721,134,895,51931.5,5247130000000000.0,3215.41,-4166.63,-9874.5,8094.02,344192000.0,1134290000.0,5247130000000000.0
17829.pdb,56.0,7.4,3.1253717685129985,-7,20662,4265,2365,-1376,1455,4,3,32,134,527,281,900,185,617,332,1075,476,525,1721,134,895,45714.7,543514000000000.0,3193.76,-3793.12,-10463.1,8870.92,663835000000.0,275833000000000.0,820011000000000.0
17830.pdb,56.2,7.4,3.1253717685129985,-7,20662,4265,2365,-1376,1455,4,3,32,134,527,281,900,185,617,332,1075,476,525,1721,134,895,47976.5,1175380000000000.0,3208.23,-3950.98,-10094.5,8380.37,37932700000.0,6257580000.0,1175420000000000.0
17831.pdb,55.1,7.4,3.486393995919501,-7,20699,2545,2365,-1376,1405,4,3,32,134,527,298,883,185,617,352,1055,476,556,1690,151,928,52218.1,19151000000000.0,3181.6,-3908.77,-9806.74,8155.1,31034600000000.0,3012960.0,50185700000000.0
17832.pdb,56.0,7.4,3.486393995919501,-7,20699,2545,2365,-1376,1405,4,3,32,134,527,298,883,185,617,352,1055,476,556,1690,151,928,61198.2,23513000000000.0,3568.38,-4468.71,-9321.77,7752.64,327590000000.0,403719000.0,23841000000000.0
17833.pdb,56.2,7.4,3.486393995919501,-7,20699,2545,2365,-1376,1405,4,3,32,134,527,298,883,185,617,352,1055,476,556,1690,151,928,45612.3,2398580000000.0,3165.19,-3602.69,-10367.5,8390.22,20332000.0,1586700000.0,2400180000000.0
17834.pdb,52.1,7.4,3.04546008173493,-7,20698,4330,2365,-1376,1506,4,2,33,119,495,264,864,185,617,332,1095,476,525,1753,134,912,46141.4,3.29932e+16,3188.61,-3655.67,-10185.6,8593.58,21418100000.0,120094000.0,3.29933e+16
17835.pdb,56.0,7.4,3.04546008173493,-7,20698,4330,2365,-1376,1506,4,2,33,119,495,264,864,185,617,332,1095,476,525,1753,134,912,59970.3,3.69206e+18,3222.82,-4403.05,-9817.84,7950.45,584884000000.0,1706670.0,3.69206e+18
17836.pdb,56.2,7.4,3.04546008173493,-7,20698,4330,2365,-1376,1506,4,2,33,119,495,264,864,185,617,332,1095,476,525,1753,134,912,46188.8,3.73416e+16,3187.28,-3651.67,-10184.1,8594.24,10618100000.0,123615000.0,3.73417e+16
17837.pdb,56.0,7.4,4.846789044776237,-8,20760,3263,2365,-1376,1403,4,4,34,134,527,281,884,205,648,348,1107,476,525,1690,134,879,42232.0,58556400000000.0,3156.4,-3482.31,-11170.7,8618.74,20385700.0,3608220.0,58556400000000.0
17838.pdb,56.2,7.4,4.846789044776237,-8,20760,3263,2365,-1376,1403,4,4,34,134,527,281,884,205,648,348,1107,476,525,1690,134,879,46278.3,554679000000000.0,3258.69,-3735.55,-10774.0,8471.82,5037000000.0,3682200.0,554684000000000.0
17839.pdb,55.1,7.4,4.846789044776237,-8,20760,3263,2365,-1376,1403,4,4,34,134,527,281,884,205,648,348,1107,476,525,1690,134,879,42197.8,61303800000000.0,3146.16,-3481.53,-11171.3,8616.99,23974800.0,3178410.0,61303800000000.0
17840.pdb,56.0,7.4,3.5901950306084505,-7,20772,2503,2365,-1376,1403,4,3,35,150,558,297,936,185,617,332,1055,476,525,1690,134,879,47273.1,1.22211e+17,3175.09,-3796.83,-10223.8,8366.98,785887000000.0,1161370.0,1.22212e+17
17841.pdb,56.2,7.4,3.5901950306084505,-7,20772,2503,2365,-1376,1403,4,3,35,150,558,297,936,185,617,332,1055,476,525,1690,134,879,60247.2,1.0428e+19,3462.9,-4572.09,-9770.07,8307.41,770378000000.0,5764930.0,1.0428e+19
17842.pdb,62.5,7.4,3.5901950306084505,-7,20772,2503,2365,-1376,1403,4,3,35,150,558,297,936,185,617,332,1055,476,525,1690,134,879,41689.2,1.72934e+16,3080.95,-3428.42,-10192.2,8868.46,5.46715e+16,28686700000.0,7.19649e+16
17843.pdb,53.0,7.4,1.96572351399926,-9,20757,3387,2365,-1633,1455,4,3,34,118,497,264,847,203,647,349,1128,476,525,1721,134,895,48578.4,1822380000000.0,2949.95,-4043.9,-9838.33,8675.63,24505200000.0,1510220.0,1846890000000.0
17844.pdb,56.2,7.4,1.96572351399926,-9,20757,3387,2365,-1633,1455,4,3,34,118,497,264,847,203,647,349,1128,476,525,1721,134,895,59628.1,30053200000000.0,3137.62,-5423.33,-9053.04,8139.44,208729000000.0,49910300.0,30262000000000.0
17845.pdb,56.0,7.4,1.96572351399926,-9,20757,3387,2365,-1633,1455,4,3,34,118,497,264,847,203,647,349,1128,476,525,1721,134,895,51267.8,16801700000000.0,2981.76,-4604.79,-9553.95,8704.52,155526000000.0,57945500000.0,17015200000000.0
17846.pdb,56.2,7.4,1.96572351399926,-9,20757,3387,2365,-1633,1455,4,3,34,118,497,264,847,203,647,349,1128,476,525,1721,134,895,48874.0,1386940000000.0,2950.21,-3936.06,-9949.02,8693.7,107781000000.0,1498050.0,1494720000000.0
17847.pdb,52.1,7.4,1.7961023515847092,-7,20704,3799,2365,-1376,1507,4,3,34,134,510,281,917,185,598,332,1094,445,508,1700,134,912,48145.4,9.3079e+16,3158.02,-3746.34,-9939.15,8643.03,284600000.0,896246.0,9.3079e+16
17848.pdb,56.2,7.4,1.7961023515847092,-7,20704,3799,2365,-1376,1507,4,3,34,134,510,281,917,185,598,332,1094,445,508,1700,134,912,60590.9,3.10373e+19,3339.25,-4808.58,-9447.55,8032.98,508034000.0,15200600000.0,3.10373e+19
17849.pdb,56.0,7.4,1.7961023515847092,-7,20704,3799,2365,-1376,1507,4,3,34,134,510,281,917,185,598,332,1094,445,508,1700,134,912,48209.5,5.75796e+16,3163.41,-3700.69,-9993.87,8644.15,1880990000.0,1014130.0,5.75796e+16
17850.pdb,56.2,7.4,2.9506995657470583,-7,20700,3182,2365,-1376,1402,4,3,34,151,558,297,936,185,617,332,1056,476,525,1690,134,879,40262.3,474215000000000.0,3270.52,-3311.93,-11137.8,8581.58,21463700000.0,3186870.0,474236000000000.0
17851.pdb,52.9,7.4,2.9506995657470583,-7,20700,3182,2365,-1376,1402,4,3,34,151,558,297,936,185,617,332,1056,476,525,1690,134,879,45074.6,4137790000000000.0,3334.68,-3372.76,-11070.6,8567.06,164834000000.0,90500000.0,4137950000000000.0
17852.pdb,56.0,7.4,2.9506995657470583,-7,20700,3182,2365,-1376,1402,4,3,34,151,558,297,936,185,617,332,1056,476,525,1690,134,879,40233.3,484047000000000.0,3272.65,-3315.28,-11117.0,8565.95,24454700000.0,3394940.0,484071000000000.0
17853.pdb,56.0,7.4,3.0369355655100705,-7,20736,3247,2365,-1376,1455,4,3,34,134,527,281,900,185,617,332,1075,476,525,1721,134,895,57463.9,71040000000000.0,3256.26,-4603.72,-9348.02,7636.72,92625200.0,1533880000.0,71041600000000.0
17854.pdb,56.2,7.4,3.0369355655100705,-7,20736,3247,2365,-1376,1455,4,3,34,134,527,281,900,185,617,332,1075,476,525,1721,134,895,41881.7,4616840000000.0,3095.92,-3465.55,-10584.5,8357.1,2925650000.0,389677000.0,4620150000000.0
17855.pdb,50.8,7.4,3.0369355655100705,-7,20736,3247,2365,-1376,1455,4,3,34,134,527,281,900,185,617,332,1075,476,525,1721,134,895,57529.4,71203200000000.0,3253.14,-4603.32,-9344.22,7636.61,19565900000.0,1271990000.0,71224100000000.0
17856.pdb,56.2,7.4,1.3627395862725136,-8,20737,3387,2365,-1058,1455,4,3,34,118,513,264,847,185,635,332,1075,506,542,1774,134,895,58872.8,1.08191e+18,3269.95,-4825.99,-9280.52,8147.53,1710990000000.0,1456320.0,1.08191e+18
17857.pdb,66.9,7.4,1.3627395862725136,-8,20737,3387,2365,-1058,1455,4,3,34,118,513,264,847,185,635,332,1075,506,542,1774,134,895,59123.5,9.46419e+17,3270.14,-4840.34,-9264.87,8143.5,3565200000000.0,1436040.0,9.46423e+17
17858.pdb,56.2,7.4,1.3627395862725136,-8,20737,3387,2365,-1058,1455,4,3,34,118,513,264,847,185,635,332,1075,506,542,1774,134,895,49729.8,2.1998e+16,3115.01,-4015.2,-9990.81,8409.84,915663000.0,704490.0,2.1998e+16
17859.pdb,56.0,7.4,1.3627395862725136,-8,20737,3387,2365,-1058,1455,4,3,34,118,513,264,847,185,635,332,1075,506,542,1774,134,895,49751.1,3.11796e+16,3118.24,-4012.67,-9981.95,8397.5,1010540000.0,702692.0,3.11796e+16
17860.pdb,56.0,7.4,2.17246086064843,-8,20763,3387,2365,-1434,1455,4,3,34,118,513,264,847,185,635,332,1075,506,542,1774,134,895,65878.6,4.61905e+16,3469.16,-5302.96,-8828.06,7801.36,26317100000.0,4039300.0,4.61905e+16
17861.pdb,53.5,7.4,2.17246086064843,-8,20763,3387,2365,-1434,1455,4,3,34,118,513,264,847,185,635,332,1075,506,542,1774,134,895,49974.9,373017000000000.0,3194.85,-3937.37,-10487.8,8314.47,55075800000.0,10085600.0,373072000000000.0
17862.pdb,56.2,7.4,2.17246086064843,-8,20763,3387,2365,-1434,1455,4,3,34,118,513,264,847,185,635,332,1075,506,542,1774,134,895,66089.6,5.06769e+16,3468.2,-5313.93,-8879.09,7803.15,2273960000.0,4813730.0,5.06769e+16
17863.pdb,56.2,7.4,5.867181176581658,-6,20830,2918,2365,-1376,1403,4,3,35,150,558,297,936,185,617,332,1055,476,525,1690,134,879,52220.5,831150000000000.0,3287.87,-4107.17,-9814.81,8190.87,73014100000.0,112141000000.0,831335000000000.0
17864.pdb,58.1,7.4,5.867181176581658,-6,20830,2918,2365,-1376,1403,4,3,35,150,558,297,936,185,617,332,1055,476,525,1690,134,879,43006.9,120029000000000.0,3014.3,-3678.89,-9876.9,8318.4,3434230000.0,648209.0,120032000000000.0
