pdb,tm,ph,sasa,charge,volume,helix,sheet,coil,n_phobic_contact,n_disulfide,n_saltbridge,n_hbond,n_pos-pos,n_pos-neutral,n_pos-special,n_pos-hydrophobic,n_neg-neg,n_neg-neutral,n_neg-special,n_neg-hydrophobic,n_neutral-neutral,n_neutral-special,n_neutral-hydrophobic,n_special-special,n_special-hydrophobic
21069,41.6,7.5,18.07174540968611,-1,15362,-232,6330,37,996,0,6,12,101,257,116,663,88,238,107,621,151,140,792,27,352
21070,51.6,7.5,18.07174540968611,-1,15293,-232,5953,37,953,0,6,12,101,271,116,649,88,252,107,607,168,148,818,27,344
21071,44.0,7.5,18.20396335275843,-1,15199,-232,6474,37,953,0,6,11,101,257,130,649,88,238,121,607,151,157,775,35,387
21072,52.0,7.5,18.301902569849034,-1,15262,-232,6302,37,953,0,6,11,101,257,130,649,88,238,121,607,151,157,775,35,387
21073,48.7,7.5,18.362519669253373,-2,15323,-232,6870,37,954,0,6,13,101,257,116,649,102,256,115,649,151,140,774,27,344
21074,60.6,7.5,18.093633671719573,-2,15258,-232,6355,37,953,0,6,14,101,257,116,649,101,256,115,651,151,140,774,27,344
21075,66.6,7.5,18.07174540968611,-1,15286,-232,5799,37,996,0,6,12,101,257,116,663,88,238,107,621,151,140,792,27,352
21076,64.9,7.5,18.07174540968611,-1,15300,-232,6250,37,954,0,6,12,101,257,131,648,88,238,120,608,151,158,774,35,386
21077,49.2,7.5,18.07174540968611,-2,15319,-232,5533,37,954,0,6,12,101,257,116,648,101,256,115,650,151,140,774,27,344
21078,52.1,7.5,18.07174540968611,-2,15349,-232,5764,37,954,0,6,12,101,257,116,648,101,256,115,650,151,140,774,27,344
21079,52.6,7.5,18.07174540968611,-1,15397,-232,6614,37,996,0,6,12,101,257,116,663,88,238,107,621,151,140,792,27,352
21080,52.8,7.5,18.07174540968611,-1,15260,-232,5664,37,954,0,6,12,101,257,131,648,88,238,120,608,151,158,774,35,386
21081,54.2,7.5,18.07174540968611,-1,15361,-232,6158,37,954,0,6,12,116,275,124,690,88,238,107,608,151,140,774,27,344
21082,48.6,7.5,18.07174540968611,0,15365,-232,5892,37,954,0,6,12,116,275,124,690,88,238,107,608,151,140,774,27,344
21083,67.5,7.5,18.07174540968611,-1,15362,-232,6330,37,996,0,6,12,101,257,116,663,88,238,107,621,151,140,792,27,352
21084,53.6,7.5,18.07174540968611,0,15419,-232,6049,37,954,0,6,12,116,275,124,690,88,238,107,608,151,140,774,27,344
21085,49.8,7.5,18.07174540968611,-1,15293,-232,5953,37,954,0,6,12,101,272,116,648,88,251,107,608,169,148,816,27,344
21086,59.6,7.5,18.07174540968611,-1,15316,-232,6437,37,954,0,6,12,101,272,116,648,88,251,107,608,169,148,816,27,344
21087,57.4,7.5,17.528411764223122,-2,15177,-232,7051,37,996,0,4,11,88,239,122,619,88,238,121,621,151,158,792,34,396
21088,40.0,7.5,19.678933163601897,-2,15320,-232,7063,37,953,0,6,14,101,257,116,650,102,256,115,650,151,140,774,27,344
21089,68.0,7.5,18.34403754981234,-1,15333,-232,7629,37,996,0,6,12,101,257,116,663,88,238,107,621,151,140,792,27,352
21090,65.5,7.5,18.131057570558035,-2,15319,-232,5533,37,953,0,6,12,101,257,116,649,102,256,114,650,151,140,774,27,345
21091,45.5,7.5,18.148995882626615,0,15365,-232,5892,37,953,0,6,12,115,275,123,692,88,238,107,607,151,140,774,27,345
21092,66.7,7.5,18.062486926037813,-1,15365,-232,6137,37,996,0,6,12,101,257,116,663,88,238,107,621,151,140,792,27,352
21093,45.0,7.5,18.163751590941096,0,15419,-232,6049,37,953,0,6,12,115,275,123,692,88,238,107,607,151,140,774,27,345
21094,65.5,7.5,18.07174540968611,-1,15334,-232,6493,37,954,0,6,12,116,275,123,690,88,238,107,607,151,140,774,27,345
21095,47.0,7.5,18.11279096445068,0,15339,-232,6998,37,953,0,6,12,116,274,123,691,88,238,107,607,151,140,775,27,345
21096,66.1,7.5,12.262574267107983,-2,15280,-232,7436,-183,1039,0,6,12,87,240,108,634,88,238,107,635,151,140,809,27,360
21097,68.0,7.5,16.623100292403244,-1,15371,-232,7436,287,996,0,6,12,101,257,116,663,88,238,107,621,151,140,792,27,352
21098,65.8,7.5,18.81699653120711,0,15462,-232,7436,-403,996,0,6,12,115,260,124,707,88,225,107,621,134,132,748,27,352
21099,62.3,7.5,18.115584833603343,-2,15319,-232,5533,37,953,0,7,13,101,257,116,649,102,256,114,650,151,140,774,27,345
21100,53.2,7.5,18.116654087845227,-2,15349,-232,5764,37,953,0,7,13,101,257,116,649,102,256,114,650,151,140,774,27,345
21101,49.7,7.5,18.10596154542639,-1,15260,-232,5664,37,953,0,6,12,101,257,130,649,88,238,121,607,151,158,774,34,388
21102,52.4,7.5,18.11002471154555,-1,15293,-232,5953,37,953,0,6,14,101,271,116,649,88,252,107,607,169,147,817,27,345
21103,63.6,7.5,18.39239358874037,-2,15292,-232,5868,37,952,0,6,13,101,257,116,649,101,256,114,652,151,140,774,27,345
21104,55.1,7.5,18.400787520129224,-2,15322,-232,6099,37,952,0,6,13,101,257,116,649,101,256,114,652,151,140,774,27,345
21105,51.5,7.5,18.316848206240675,-1,15233,-232,5999,37,952,0,6,12,101,257,130,649,88,238,120,608,151,158,774,34,389
21106,62.6,7.5,18.100776174515477,-1,15257,-232,7098,37,996,0,6,12,101,257,116,663,88,238,107,621,151,140,792,27,352
21107,55.6,7.5,18.112457192316644,-2,15290,-232,6832,37,953,0,6,12,101,257,116,649,102,255,115,650,151,140,775,27,344
21108,58.7,7.5,18.736283970791835,-2,15320,-232,7436,-325,952,0,6,13,101,257,116,649,102,254,115,651,151,140,776,27,344
21109,48.1,7.5,18.598982615191478,-1,15231,-232,7436,106,952,0,6,12,101,257,130,649,88,238,121,607,151,156,776,35,388
21110,45.0,7.5,18.07174540968611,-1,15349,-220,7436,37,996,0,6,12,101,257,116,663,88,238,107,621,151,140,792,27,352
21111,64.5,7.5,16.460722289402028,-1,15417,250,7436,37,1040,0,6,11,101,242,116,678,88,225,107,634,135,132,764,27,360
21112,53.0,7.5,18.3011947772093,-1,15260,-232,5664,37,953,0,6,12,101,257,131,648,88,238,121,607,151,157,775,34,388
21113,68.4,7.5,17.412306653577826,-1,15397,31,7436,37,996,0,6,12,101,257,116,663,88,238,107,621,151,140,792,27,352
21114,67.0,7.5,18.224787146765728,-1,15361,-178,7436,37,953,0,6,12,116,274,123,691,88,238,107,607,151,140,775,27,345
21115,63.9,7.5,17.744123425204297,-1,15473,-232,8386,37,1040,0,6,12,101,257,101,678,88,238,95,633,151,122,810,20,315
21116,61.1,7.5,17.841784548480053,-1,15365,-232,6137,37,996,0,6,12,101,257,116,663,88,238,107,621,151,140,792,27,352
21117,51.7,7.5,19.32934386940672,-1,15329,-232,5706,37,952,0,6,13,101,272,116,648,88,249,107,610,169,148,818,27,344
21118,44.7,7.5,18.07331784242763,-1,15337,-232,7436,124,996,0,6,12,101,257,116,663,88,238,107,621,151,140,792,27,352
21119,42.6,7.5,18.152882939148686,0,15339,-232,7436,349,952,0,6,12,115,274,124,693,88,238,107,608,151,140,775,27,344
21120,67.7,7.5,16.441029357034704,-2,15279,237,7436,37,1042,0,5,12,88,241,108,630,88,238,107,634,151,140,808,27,360
21121,62.1,7.5,17.22714389415457,-1,15338,30,7436,37,1041,0,6,12,88,240,108,631,88,238,107,634,151,140,809,27,360
21122,59.6,7.5,16.610450724083922,-1,15340,151,7436,37,1041,0,6,12,88,240,108,631,88,238,107,634,151,140,809,27,360
21123,64.5,7.5,19.43919548245146,-1,15268,-487,7436,37,996,0,6,12,88,253,108,618,88,251,107,621,168,148,837,27,352
21124,59.8,7.5,18.154653830248854,-1,15431,-232,7681,37,996,0,6,12,101,272,101,663,88,250,95,621,169,129,836,20,308
21125,63.9,7.5,18.28242624254896,-1,15397,-113,7436,37,996,0,6,12,101,257,116,663,88,238,107,621,151,140,792,27,352
21126,73.9,7.5,17.618119469005606,-1,15477,-232,7796,37,1039,0,6,11,101,242,116,678,88,224,107,635,134,133,766,27,359
21127,63.1,7.5,18.03591813357546,0,15340,-823,7436,37,996,0,6,12,101,257,131,663,75,222,112,577,151,156,792,35,396
21128,55.1,7.5,17.562998088914892,0,15333,-319,7436,37,996,0,6,12,101,272,116,663,75,235,99,577,167,148,836,27,352
21129,50.9,7.5,18.107303802110245,-1,15300,-232,7005,37,953,0,6,12,101,271,116,649,88,252,107,607,168,148,818,27,344
