# tm,ph,sasa,charge,volume,helix,sheet,coil,n_phobic_contact,n_disulfide,n_saltbridge,n_hbond,n_pos-pos,n_pos-neutral,n_pos-special,n_pos-hydrophobic,n_neg-neg,n_neg-neutral,n_neg-special,n_neg-hydrophobic,n_neutral-neutral,n_neutral-special,n_neutral-hydrophobic,n_special-special,n_special-hydrophobic
5.200000000000000000e+01,7.500000000000000000e+00,1.294220521478273440e+02,-6.000000000000000000e+00,6.307300000000000000e+04,-1.043000000000000000e+03,1.185700000000000000e+04,5.968500000000000000e+04,7.050000000000000000e+03,5.000000000000000000e+00,1.500000000000000000e+01,1.030000000000000000e+02,3.690000000000000000e+02,4.079000000000000000e+03,4.033000000000000000e+03,3.344000000000000000e+03,3.620000000000000000e+02,3.999000000000000000e+03,3.936000000000000000e+03,3.228000000000000000e+03,1.047300000000000000e+04,2.068600000000000000e+04,1.740700000000000000e+04,1.019200000000000000e+04,1.732800000000000000e+04
5.350000000000000000e+01,7.500000000000000000e+00,1.286960280065156894e+02,-6.000000000000000000e+00,6.311100000000000000e+04,-5.210000000000000000e+02,1.185700000000000000e+04,5.938500000000000000e+04,7.050000000000000000e+03,5.000000000000000000e+00,1.600000000000000000e+01,1.030000000000000000e+02,3.970000000000000000e+02,4.227000000000000000e+03,4.151000000000000000e+03,3.465000000000000000e+03,3.620000000000000000e+02,3.999000000000000000e+03,3.908000000000000000e+03,3.228000000000000000e+03,1.047800000000000000e+04,2.053700000000000000e+04,1.740500000000000000e+04,1.004200000000000000e+04,1.720900000000000000e+04
5.000000000000000000e+01,7.500000000000000000e+00,1.297901122216798910e+02,-5.000000000000000000e+00,6.311500000000000000e+04,-5.210000000000000000e+02,1.185700000000000000e+04,5.925000000000000000e+04,7.050000000000000000e+03,5.000000000000000000e+00,1.600000000000000000e+01,1.030000000000000000e+02,3.970000000000000000e+02,4.227000000000000000e+03,4.151000000000000000e+03,3.465000000000000000e+03,3.620000000000000000e+02,3.999000000000000000e+03,3.908000000000000000e+03,3.228000000000000000e+03,1.047800000000000000e+04,2.053700000000000000e+04,1.740500000000000000e+04,1.004200000000000000e+04,1.720900000000000000e+04
5.500000000000000000e+01,7.500000000000000000e+00,1.300837874583818348e+02,-5.000000000000000000e+00,6.316900000000000000e+04,-5.210000000000000000e+02,1.185700000000000000e+04,5.924500000000000000e+04,7.050000000000000000e+03,5.000000000000000000e+00,1.600000000000000000e+01,1.030000000000000000e+02,3.970000000000000000e+02,4.227000000000000000e+03,4.151000000000000000e+03,3.465000000000000000e+03,3.620000000000000000e+02,3.999000000000000000e+03,3.908000000000000000e+03,3.228000000000000000e+03,1.047800000000000000e+04,2.053700000000000000e+04,1.740500000000000000e+04,1.004200000000000000e+04,1.720900000000000000e+04
5.600000000000000000e+01,7.500000000000000000e+00,1.291593487553217017e+02,-6.000000000000000000e+00,6.306900000000000000e+04,-5.210000000000000000e+02,1.185700000000000000e+04,5.936400000000000000e+04,7.168000000000000000e+03,5.000000000000000000e+00,1.500000000000000000e+01,1.040000000000000000e+02,3.690000000000000000e+02,4.108000000000000000e+03,3.975000000000000000e+03,3.373000000000000000e+03,3.620000000000000000e+02,4.027000000000000000e+03,3.881000000000000000e+03,3.255000000000000000e+03,1.062500000000000000e+04,2.053700000000000000e+04,1.767300000000000000e+04,9.898000000000000000e+03,1.723500000000000000e+04
5.250000000000000000e+01,7.500000000000000000e+00,1.294484825171448676e+02,-5.000000000000000000e+00,6.297400000000000000e+04,-5.210000000000000000e+02,1.143600000000000000e+04,5.968500000000000000e+04,6.935000000000000000e+03,5.000000000000000000e+00,1.600000000000000000e+01,1.030000000000000000e+02,3.970000000000000000e+02,4.263000000000000000e+03,4.156000000000000000e+03,3.431000000000000000e+03,3.620000000000000000e+02,4.027000000000000000e+03,3.908000000000000000e+03,3.202000000000000000e+03,1.062500000000000000e+04,2.068400000000000000e+04,1.737100000000000000e+04,1.004200000000000000e+04,1.705700000000000000e+04
5.450000000000000000e+01,7.500000000000000000e+00,1.289688959602929970e+02,-6.000000000000000000e+00,6.308800000000000000e+04,-5.210000000000000000e+02,1.157800000000000000e+04,5.968500000000000000e+04,7.050000000000000000e+03,5.000000000000000000e+00,1.500000000000000000e+01,1.040000000000000000e+02,3.970000000000000000e+02,4.232000000000000000e+03,4.155000000000000000e+03,3.462000000000000000e+03,3.620000000000000000e+02,3.999000000000000000e+03,3.908000000000000000e+03,3.228000000000000000e+03,1.047300000000000000e+04,2.053300000000000000e+04,1.740800000000000000e+04,1.004200000000000000e+04,1.720900000000000000e+04
5.050000000000000000e+01,7.500000000000000000e+00,1.293247020102210740e+02,-7.000000000000000000e+00,6.310200000000000000e+04,-5.210000000000000000e+02,1.185700000000000000e+04,6.001200000000000000e+04,7.050000000000000000e+03,5.000000000000000000e+00,1.500000000000000000e+01,1.040000000000000000e+02,3.690000000000000000e+02,4.108000000000000000e+03,3.976000000000000000e+03,3.344000000000000000e+03,3.890000000000000000e+02,4.178000000000000000e+03,4.028000000000000000e+03,3.344000000000000000e+03,1.062500000000000000e+04,2.053300000000000000e+04,1.752600000000000000e+04,9.895000000000000000e+03,1.709300000000000000e+04
5.400000000000000000e+01,7.500000000000000000e+00,1.292836929664586023e+02,-6.000000000000000000e+00,6.304400000000000000e+04,-5.210000000000000000e+02,1.262800000000000000e+04,5.968500000000000000e+04,7.050000000000000000e+03,5.000000000000000000e+00,1.500000000000000000e+01,1.040000000000000000e+02,3.690000000000000000e+02,4.108000000000000000e+03,4.004000000000000000e+03,3.344000000000000000e+03,3.620000000000000000e+02,4.027000000000000000e+03,3.908000000000000000e+03,3.228000000000000000e+03,1.062500000000000000e+04,2.068400000000000000e+04,1.752600000000000000e+04,1.004200000000000000e+04,1.720900000000000000e+04
4.800000000000000000e+01,7.500000000000000000e+00,1.292890022943087445e+02,-7.000000000000000000e+00,6.309900000000000000e+04,-5.210000000000000000e+02,1.166800000000000000e+04,5.968500000000000000e+04,7.050000000000000000e+03,5.000000000000000000e+00,1.500000000000000000e+01,1.040000000000000000e+02,3.690000000000000000e+02,4.080000000000000000e+03,4.004000000000000000e+03,3.344000000000000000e+03,3.900000000000000000e+02,4.153000000000000000e+03,4.058000000000000000e+03,3.348000000000000000e+03,1.047100000000000000e+04,2.053400000000000000e+04,1.740600000000000000e+04,1.004200000000000000e+04,1.720900000000000000e+04
