tm,ph,sasa,charge,volume,helix,sheet,coil,n_phobic_contact,n_disulfide,n_saltbridge,n_hbond,n_pos-pos,n_pos-neutral,n_pos-special,n_pos-hydrophobic,n_neg-neg,n_neg-neutral,n_neg-special,n_neg-hydrophobic,n_neutral-neutral,n_neutral-special,n_neutral-hydrophobic,n_special-special,n_special-hydrophobic
12,2,43.69377379,8,24401,15820,4069,-277,2435,0,11,28,344,901,369,1859,146,602,249,1243,546,461,2352,89,969
12,2,44.11672609,8,24401,17540,4069,1131,2433,0,11,28,344,901,369,1859,146,602,249,1243,546,459,2354,89,971
12,2,44.13927306,8,24401,17540,4069,1131,2436,0,11,28,344,901,369,1859,146,602,249,1243,546,462,2351,89,968
12,2,45.81346913,8,24399,14159,4069,1131,2298,0,11,28,344,901,422,1806,146,602,285,1207,546,525,2288,117,1078
16.6,3,44.59150516,9,24438,15797,4069,1131,2300,0,11,28,371,934,410,1872,146,602,267,1207,546,493,2287,103,1009
22,7,43.69377379,8,24401,15820,4069,-277,2435,0,11,28,344,901,369,1859,146,602,249,1243,546,461,2352,89,969
22.5,3,44.45943293,8,24336,14004,4069,1131,2299,0,11,28,344,901,422,1806,146,602,285,1207,546,526,2287,117,1077
23.1,2,42.68487212,7,24380,15405,4069,1131,2366,0,11,28,344,901,395,1833,146,602,267,1225,546,493,2320,103,1024
23.5,7,44.62027628,8,24399,15820,4069,2704,2298,0,11,28,344,901,422,1806,146,602,283,1209,546,526,2287,118,1077
23.8,2.02,44.48356747,8,24362,15879,4069,1131,2366,0,11,28,344,901,395,1833,146,602,267,1225,546,493,2320,103,1024
25.5,2,44.56559872,8,24509,15763,4069,1131,2366,0,11,28,344,901,395,1833,146,602,267,1225,546,493,2320,103,1024
25.6,2,44.24296253,8,24406,14512,4069,1131,2366,0,11,27,344,874,422,1833,146,585,284,1225,514,510,2252,118,1092
26.4,6,44.50912699,8,24401,15680,4069,1131,2366,0,11,28,344,901,395,1833,146,602,267,1225,546,493,2320,103,1024
26.8,7,44.56766662,8,24399,14159,4069,1131,2298,0,11,28,344,901,421,1807,146,602,284,1208,546,526,2287,118,1077
26.8,2,44.79692527,8,24398,14781,4069,1131,2299,0,11,28,344,901,422,1806,146,602,284,1208,546,526,2287,118,1076
27.1,2.2,42.68487212,7,24380,15405,4069,1131,2366,0,11,28,344,901,395,1833,146,602,267,1225,546,493,2320,103,1024
27.7,2.4,42.01107202,7,24319,15481,4069,1131,2366,0,11,27,319,867,406,1765,146,602,285,1225,546,527,2320,117,1092
28.3,2,44.40943399,9,24442,15229,4069,1131,2366,0,10,28,344,901,422,1833,130,568,268,1158,546,527,2320,118,1091
28.9,10.4,44.50143449,7,24395,14750,4069,1131,2299,0,11,29,344,901,395,1807,164,635,282,1274,546,493,2287,103,1009
29.6,2.34,42.68487212,7,24380,15405,4069,1131,2366,0,11,28,344,901,395,1833,146,602,267,1225,546,493,2320,103,1024
30.3,2,44.67379984,8,24391,15285,4069,1131,2299,0,11,28,344,928,395,1806,146,619,267,1208,579,508,2354,103,1009
30.7,7,44.62027628,8,24399,15820,4069,2704,2298,0,11,28,344,901,422,1806,146,602,283,1209,546,526,2287,118,1077
30.9,2,44.46955548,8,24408,15820,4069,596,2434,0,11,27,344,875,395,1859,146,585,267,1242,513,478,2285,103,1039
30.9,2.4,42.68487212,7,24380,15405,4069,1131,2366,0,11,28,344,901,395,1833,146,602,267,1225,546,493,2320,103,1024
31,2,43.88989781,8,24485,15820,4069,518,2435,0,11,28,344,874,395,1860,146,585,267,1242,514,479,2283,103,1038
31,2,43.57357346,8,24458,15820,4069,563,2434,0,11,27,344,875,395,1859,146,585,267,1242,513,478,2285,103,1039
31.3,2.4,44.26902851,8,24376,15012,4069,1131,2298,0,11,28,344,901,421,1807,146,602,285,1207,546,526,2287,117,1078
31.3,3,44.44993544,8,24549,15086,4069,1131,2366,0,11,28,344,901,395,1833,146,602,267,1225,546,493,2320,103,1024
