,tm,ph,sasa,charge,volume,helix,sheet,coil,n_phobic_contact,n_disulfide,n_saltbridge,n_hbond,n_pos-pos,n_pos-neutral,n_pos-special,n_pos-hydrophobic,n_neg-neg,n_neg-neutral,n_neg-special,n_neg-hydrophobic,n_neutral-neutral,n_neutral-special,n_neutral-hydrophobic,n_special-special,n_special-hydrophobic,e_angle,e_bond,e_dihedral,e_gb,e_elec,e_elec14,e_vdw,e_vdw14,e_tot
31390.pdb,0,8,70.4379642849,4,30433,-828,4911,13065,2570,2,12,128,348,1529,1051,1931,248,1308,901,1644,1619,2276,4146,768,2849,1875.17,1422.04,4288.66,-3841.62,-15116.8,11078.8,-98.3122,818.305,426.198
31391.pdb,0,8,71.4069998496,6,30449,-828,4911,13322,2570,2,12,128,374,1586,1091,2002,226,1251,861,1573,1619,2276,4146,768,2849,1901.23,507.973,4018.58,-3866.7,-15039.1,10979.9,-727.247,723.814,-1501.53
31392.pdb,0,8,69.0269124978,5,30278,-828,4911,13423,2570,2,12,128,348,1529,1051,1931,226,1251,861,1573,1619,2276,4146,768,2849,1425.39,282.737,3968.59,-3963.75,-14811.4,10951.0,-1038.09,676.405,-2509.15
31393.pdb,0,8,64.991197192,4,30381,-828,4911,13181,2641,2,12,127,322,1472,1038,1885,226,1251,883,1595,1619,2333,4203,807,2961,1779.07,276.185,4093.73,-3943.36,-14846.0,10903.1,-995.832,715.129,-2018.0
31394.pdb,0,8,64.4873854272,4,30478,-828,4911,12948,2713,2,12,127,322,1472,1012,1911,226,1251,861,1617,1619,2276,4260,768,2928,2309.3,1570.06,4320.22,-3794.54,-14998.1,11025.9,55.6584,880.905,1369.33
31395.pdb,0,8,66.2507266037,4,30341,-828,4911,13184,2641,2,12,127,322,1472,1038,1885,226,1251,883,1595,1619,2333,4203,807,2961,2321.84,1798.05,4393.74,-3734.95,-15071.2,11062.8,-24.9253,815.805,1561.19
31396.pdb,0,8,65.653349797,4,30442,-828,4911,13145,2641,2,12,129,348,1529,1051,1957,226,1251,861,1595,1619,2276,4203,768,2889,1715.7,293.171,4015.34,-3804.05,-14844.2,10727.8,-1005.71,698.416,-2203.51
31397.pdb,0,8,65.1999192088,4,30444,-828,4911,12785,2713,2,12,127,322,1472,1012,1911,226,1251,861,1617,1619,2276,4260,768,2928,2686.83,1708.6,4463.48,-3811.52,-14761.8,10861.6,193.856,794.658,2135.67
31398.pdb,0,8,67.0473464327,5,30416,-828,4273,13010,2714,2,12,127,348,1503,1051,1983,226,1229,861,1617,1563,2237,4186,768,2928,1809.32,368.325,4085.79,-4005.26,-14799.8,10955.0,-944.697,671.594,-1859.82
31399.pdb,0,8,65.7042967253,5,30430,-828,4724,13010,2641,2,12,127,348,1503,1077,1957,226,1229,883,1595,1563,2293,4130,807,2962,2298.54,1613.22,4326.61,-3968.16,-14824.6,11066.4,-34.6769,864.109,1341.39
31400.pdb,0,8,67.6481844597,4,30449,-828,4007,13010,2641,2,13,127,348,1503,1051,1957,248,1285,900,1668,1563,2237,4130,768,2889,1718.55,351.139,3971.86,-3871.45,-15087.8,10963.4,-913.909,717.698,-2150.49
31401.pdb,0,8,67.6923637264,4,30479,-828,4238,13010,2641,2,13,127,348,1503,1051,1957,248,1285,900,1668,1563,2237,4130,768,2889,2736.4,1743.18,4499.15,-3851.13,-15012.4,11008.3,235.92,855.084,2214.49
31402.pdb,0,8,67.2505710595,5,30390,-828,4138,13010,2641,2,12,127,348,1503,1077,1957,226,1229,883,1595,1563,2293,4130,807,2962,1640.8,299.568,4048.91,-3809.48,-14992.3,10924.6,-952.598,697.493,-2143.04
31403.pdb,0,8,66.9589878993,5,30324,-828,4630,13010,2641,2,12,127,348,1503,1051,1957,226,1229,861,1595,1563,2237,4130,768,2889,1395.17,332.093,3809.88,-3809.59,-14973.9,10869.1,-1028.93,669.604,-2736.57
31404.pdb,0,8,66.5171952324,5,30491,-828,4632,13010,2641,2,12,128,374,1559,1090,2030,226,1229,861,1595,1563,2237,4130,768,2889,1574.26,319.246,3771.24,-3848.74,-15050.2,10963.1,-937.858,699.515,-2509.47
31405.pdb,0,8,65.9605364721,5,30493,-828,5575,13010,2714,2,12,127,348,1503,1051,1983,226,1229,861,1617,1563,2237,4186,768,2928,3787.65,2799.28,4612.85,-3795.8,-15048.5,11212.3,1231.71,1007.65,5807.17
31406.pdb,0,8,68.1960073667,6,30495,-828,4366,13010,2641,2,12,127,374,1559,1090,2030,226,1229,861,1595,1563,2237,4130,768,2889,1723.71,300.425,3910.04,-3876.38,-15039.7,10939.2,-947.827,674.672,-2315.95
31407.pdb,0,8,65.5540872185,5,30495,-828,4611,13010,2714,2,12,127,348,1503,1051,1983,226,1229,861,1617,1563,2237,4186,768,2928,1769.7,358.412,3999.62,-3750.84,-15153.2,10918.2,-934.734,713.319,-2079.58
31408.pdb,0,8,67.3831088595,5,30459,-828,4180,13010,2641,2,12,128,348,1529,1051,1957,226,1251,861,1595,1619,2276,4203,768,2889,1650.5,298.692,3909.19,-3839.46,-15074.5,10885.7,-951.26,703.95,-2417.22
31409.pdb,0,8,67.604005193,5,30453,-828,3966,13010,2641,2,12,127,348,1503,1077,1957,226,1229,883,1595,1563,2293,4130,807,2962,1355.98,271.05,3886.61,-3770.48,-15210.2,11057.5,-1062.97,688.242,-2784.33
31410.pdb,0,8,67.7983939664,5,30485,-828,4383,13010,2641,2,12,128,348,1529,1051,1957,226,1251,861,1595,1619,2276,4203,768,2889,1568.63,325.576,3965.24,-3788.76,-14995.8,10773.5,-1008.17,672.551,-2487.2
31411.pdb,0,8,68.6466358869,6,30549,-828,4523,13010,2641,2,12,127,374,1559,1090,2030,226,1229,861,1595,1563,2237,4130,768,2889,2265.7,1698.49,4388.38,-4094.34,-14516.9,10708.3,163.181,807.033,1419.81
31412.pdb,0,8,67.1970007147,4,30505,-828,4911,13337,2641,2,12,128,348,1529,1025,1957,248,1307,877,1669,1619,2220,4203,730,2815,1447.88,305.572,3886.97,-3879.64,-15195.4,10953.6,-1010.98,676.043,-2815.95
31413.pdb,0,8,67.2165742527,4,30535,-828,4911,12579,2641,2,12,128,348,1529,1025,1957,248,1307,877,1669,1619,2220,4203,730,2815,2259.76,1860.56,4359.13,-3867.59,-15154.4,11130.5,67.2291,835.279,1490.48
31414.pdb,0,8,66.0617355104,5,30583,-828,4911,12774,2715,2,12,128,348,1529,1025,1983,226,1251,839,1617,1619,2220,4259,730,2853,1717.2,349.502,4053.75,-3777.5,-14959.3,10765.5,-936.768,696.455,-2091.21
31415.pdb,0,8,66.7387368135,5,30439,-828,4911,12428,2715,2,12,126,348,1502,1051,1984,226,1230,861,1616,1563,2238,4185,768,2927,1972.65,399.649,4255.49,-3896.53,-14965.8,10992.5,-743.168,743.257,-1242.02
31416.pdb,0,8,67.1954734807,4,30472,-828,4911,13076,2641,2,12,127,348,1502,1051,1957,247,1286,899,1669,1563,2238,4129,768,2889,1660.12,340.432,3889.91,-3844.11,-15170.9,10981.9,-987.724,719.434,-2410.97
31417.pdb,0,8,67.2290570592,4,30502,-828,4911,12318,2641,2,12,127,348,1502,1051,1957,247,1286,899,1669,1563,2238,4129,768,2889,1555.45,328.468,3846.27,-3830.71,-15047.7,10821.7,-1067.78,677.541,-2716.79
31418.pdb,0,8,65.2476259296,5,30550,-828,4911,12513,2715,2,12,126,348,1502,1051,1984,226,1230,861,1616,1563,2238,4185,768,2927,1936.75,429.115,4190.56,-3828.0,-14950.9,10911.9,-707.487,726.79,-1291.28
31419.pdb,0,8,66.8932212745,5,30413,-828,4911,12749,2641,2,12,126,348,1502,1078,1957,226,1230,882,1595,1563,2294,4129,806,2963,2539.85,1650.46,4573.01,-3764.73,-15033.9,11040.6,266.587,882.279,2154.07
31420.pdb,0,8,66.3357338719,5,30514,-828,4911,12710,2641,2,13,127,375,1558,1089,2031,226,1230,861,1595,1563,2238,4129,768,2889,2223.09,1689.59,4591.33,-3814.15,-15038.9,11161.2,149.463,845.881,1807.53
31421.pdb,0,8,65.9125807832,5,30516,-828,4911,12350,2715,2,12,126,348,1502,1051,1984,226,1230,861,1616,1563,2238,4185,768,2927,1443.37,279.374,3833.5,-3816.02,-14924.5,10925.1,-1034.78,680.61,-2613.43
31422.pdb,0,8,67.6119098537,6,30518,-828,4911,12575,2641,2,13,127,375,1558,1089,2031,226,1230,861,1595,1563,2238,4129,768,2889,1765.46,385.636,4286.85,-3937.02,-14983.6,11050.6,-716.66,761.268,-1387.4
31423.pdb,0,8,65.8789972048,5,30515,-828,4911,12263,2715,2,12,126,348,1502,1051,1984,226,1230,861,1616,1563,2238,4185,768,2927,1359.96,290.471,3800.4,-3679.13,-15136.1,10840.1,-1046.12,683.161,-2887.22
31424.pdb,0,8,66.9939720099,5,30482,-828,4911,12893,2641,2,12,128,348,1529,1051,1957,226,1251,861,1595,1619,2276,4203,768,2889,2120.36,1629.85,4456.64,-3740.72,-15199.2,11008.7,-111.191,827.635,992.024
31425.pdb,0,8,67.1618899022,5,30476,-828,4911,13836,2641,2,12,126,348,1502,1078,1957,226,1230,882,1595,1563,2294,4129,806,2963,1429.38,273.402,3837.28,-3556.16,-15384.9,10920.2,-1015.55,684.986,-2811.38
31426.pdb,0,8,67.3096576475,5,30508,-828,4911,12517,2641,2,12,128,348,1529,1051,1957,226,1251,861,1595,1619,2276,4203,768,2889,2577.41,1682.04,4436.46,-3755.65,-15157.4,11093.4,-90.079,862.387,1648.58
31427.pdb,0,8,67.9544623541,6,30572,-828,4911,12570,2641,2,13,127,375,1558,1089,2031,226,1230,861,1595,1563,2238,4129,768,2889,1514.07,334.346,4016.56,-3930.93,-14851.7,10644.0,-885.447,702.649,-2456.45
31428.pdb,0,8,67.0208388727,5,30472,-828,4911,12689,2715,2,12,128,348,1529,1024,1984,226,1251,840,1616,1619,2220,4259,730,2853,2229.84,1612.95,4438.91,-3814.16,-15051.7,11150.4,104.99,836.04,1507.23
31429.pdb,0,8,67.0208388727,5,30486,-828,4911,13007,2641,2,12,128,348,1529,1051,1957,226,1251,861,1595,1619,2276,4203,768,2889,1626.32,315.093,4091.92,-3959.01,-14931.2,10992.3,-920.937,704.425,-2081.07
31430.pdb,0,8,67.0208388727,4,30505,-828,4911,13337,2641,2,12,128,348,1529,1024,1957,247,1307,878,1669,1619,2220,4203,730,2815,1399.74,300.582,3876.38,-3904.79,-15059.8,10906.2,-1045.87,655.347,-2872.15
31431.pdb,0,8,67.0208388727,4,30535,-828,4911,12579,2641,2,12,128,348,1529,1024,1957,247,1307,878,1669,1619,2220,4203,730,2815,1696.08,358.791,4000.86,-3987.38,-14902.7,10906.1,-838.177,699.449,-2066.96
31432.pdb,0,8,67.0208388727,5,30583,-828,4911,12774,2715,2,12,128,348,1529,1024,1984,226,1251,840,1616,1619,2220,4259,730,2853,1630.06,347.666,3906.78,-3698.07,-15178.4,10880.5,-999.427,685.015,-2425.84
31433.pdb,0,8,66.4815042846,6,30413,-828,4911,12362,2715,2,11,127,348,1529,1051,1984,205,1196,822,1542,1619,2276,4258,768,2928,1575.18,320.078,3833.57,-3647.88,-15242.1,10988.9,-1054.01,706.002,-2520.22
31434.pdb,0,8,66.8365783178,5,30439,-828,4757,13010,2715,2,12,125,348,1502,1051,1984,226,1230,861,1616,1564,2237,4184,768,2928,2042.51,1581.15,4394.84,-3662.96,-15214.4,11188.7,-134.964,853.612,1048.45
31435.pdb,0,8,66.1697305952,5,30453,-828,5208,13010,2641,2,12,125,348,1502,1078,1957,226,1230,882,1595,1564,2292,4129,807,2963,2658.84,688.211,4263.34,-3692.62,-15030.9,10878.0,-271.577,802.647,295.951
31436.pdb,0,8,67.1568407108,4,30502,-828,4722,13010,2641,2,12,127,348,1502,1051,1957,247,1285,900,1669,1564,2237,4129,768,2889,1526.4,329.58,3772.64,-3715.9,-15199.2,10943.1,-1052.75,690.44,-2705.65
