# delta: tm,sasa,charge,volume,helix,sheet,coil,n_phobic_contact,n_disulfide,n_saltbridge,n_hbond,n_pos-pos,n_pos-neutral,n_pos-special,n_pos-hydrophobic,n_neg-neg,n_neg-neutral,n_neg-special,n_neg-hydrophobic,n_neutral-neutral,n_neutral-special,n_neutral-hydrophobic,n_special-special,n_special-hydrophobic
-1.610000000000000142e+01,-9.856226699999979246e-01,0.000000000000000000e+00,4.000000000000000000e+01,-6.810000000000000000e+02,0.000000000000000000e+00,-1.408000000000000000e+03,6.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.600000000000000000e+01,2.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.800000000000000000e+01,1.800000000000000000e+01,0.000000000000000000e+00,-3.200000000000000000e+01,3.200000000000000000e+01,-1.400000000000000000e+01,-5.500000000000000000e+01
-1.460000000000000142e+01,-5.912018000000074380e-02,0.000000000000000000e+00,3.800000000000000000e+01,-6.810000000000000000e+02,0.000000000000000000e+00,1.573000000000000000e+03,-6.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.700000000000000000e+01,-2.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01,-1.600000000000000000e+01,0.000000000000000000e+00,3.300000000000000000e+01,-3.300000000000000000e+01,1.500000000000000000e+01,5.300000000000000000e+01
-1.130000000000000071e+01,-1.117298400000024117e-01,0.000000000000000000e+00,3.800000000000000000e+01,-2.342000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,-6.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.600000000000000000e+01,-2.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.700000000000000000e+01,-1.700000000000000000e+01,0.000000000000000000e+00,3.300000000000000000e+01,-3.300000000000000000e+01,1.500000000000000000e+01,5.300000000000000000e+01
-7.400000000000002132e+00,-5.912018000000074380e-02,0.000000000000000000e+00,3.800000000000000000e+01,-6.810000000000000000e+02,0.000000000000000000e+00,1.573000000000000000e+03,-6.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.700000000000000000e+01,-2.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01,-1.600000000000000000e+01,0.000000000000000000e+00,3.300000000000000000e+01,-3.300000000000000000e+01,1.500000000000000000e+01,5.300000000000000000e+01
5.699999999999995737e+00,-2.294610200000022360e-01,0.000000000000000000e+00,7.500000000000000000e+01,-8.020000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.699999999999995737e+00,-2.342113799999978596e-01,0.000000000000000000e+00,1.070000000000000000e+02,-1.897000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,-6.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.600000000000000000e+01,0.000000000000000000e+00,-2.600000000000000000e+01,0.000000000000000000e+00,1.700000000000000000e+01,0.000000000000000000e+00,-1.700000000000000000e+01,3.400000000000000000e+01,1.500000000000000000e+01,3.300000000000000000e+01,0.000000000000000000e+00,-1.500000000000000000e+01
5.899999999999998579e+00,-1.779619699999983595e-01,-1.000000000000000000e+00,3.400000000000000000e+01,-1.751000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,-6.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.600000000000000000e+01,1.800000000000000000e+01,3.300000000000000000e+01,1.500000000000000000e+01,4.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,-3.300000000000000000e+01,0.000000000000000000e+00,-1.500000000000000000e+01
1.269999999999999574e+01,-1.815671900000026540e-01,0.000000000000000000e+00,1.140000000000000000e+02,-2.401000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,-6.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.600000000000000000e+01,-2.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.700000000000000000e+01,-1.700000000000000000e+01,0.000000000000000000e+00,3.400000000000000000e+01,-3.400000000000000000e+01,1.500000000000000000e+01,5.200000000000000000e+01
1.389999999999999858e+01,-5.080019800000030727e-01,0.000000000000000000e+00,7.000000000000000000e+01,5.170000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,6.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.600000000000000000e+01,0.000000000000000000e+00,2.600000000000000000e+01,0.000000000000000000e+00,-1.700000000000000000e+01,0.000000000000000000e+00,1.700000000000000000e+01,-3.300000000000000000e+01,-1.500000000000000000e+01,-3.500000000000000000e+01,0.000000000000000000e+00,1.500000000000000000e+01
1.750000000000000000e+01,-4.364339299999997479e-01,0.000000000000000000e+00,4.500000000000000000e+01,-1.989000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,-2.700000000000000000e+01,2.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.700000000000000000e+01,1.700000000000000000e+01,0.000000000000000000e+00,-3.200000000000000000e+01,1.700000000000000000e+01,-6.800000000000000000e+01,1.500000000000000000e+01,6.800000000000000000e+01
