tm,ph,sasa,charge,volume,helix,sheet,coil,n_phobic_contact,n_disulfide,n_saltbridge,n_hbond
38.1,2.0,0,8,24361,16501,4069,1131,2366,0,11,28
53.3,4.2,0,8,24361,16501,4069,1131,2366,0,11,28
38.1,2.0,0,8,24361,16501,4069,1131,2366,0,11,28
62.9,6.5,0,8,24361,16501,4069,1131,2366,0,11,28
41.9,2.0,0,8,24375,15634,4069,1131,2299,0,11,28
65.0,6.5,0,8,24375,15634,4069,1131,2299,0,11,28
64.7,6.5,0,8,24375,15634,4069,1131,2299,0,11,28
53.3,4.2,0,8,24375,15634,4069,1131,2299,0,11,28
53.3,4.2,0,7,24394,15372,4069,1131,2299,0,11,28
56.2,6.5,0,7,24394,15372,4069,1131,2299,0,11,28
35.4,2.0,0,7,24394,15372,4069,1131,2299,0,11,28
37.8,2.0,0,7,24424,16318,4069,1131,2299,0,11,28
59.0,6.5,0,7,24424,16318,4069,1131,2299,0,11,28
49.9,3.0,0,7,24424,16318,4069,1131,2299,0,11,28
41.5,2.5,0,7,24424,16318,4069,1131,2299,0,11,28
33.1,2.0,0,7,24424,16318,4069,1131,2299,0,11,28
34.1,2.0,0,8,24472,15767,4069,1131,2366,0,11,28
61.7,6.5,0,8,24472,15767,4069,1131,2366,0,11,28
43.2,2.5,0,8,24472,15767,4069,1131,2366,0,11,28
52.2,3.0,0,8,24472,15767,4069,1131,2366,0,11,28
37.9,2.0,0,8,24472,15767,4069,1131,2366,0,11,28
37.9,2.0,0,8,24472,15767,4069,1131,2366,0,11,28
34.7,2.0,0,8,24335,14626,4069,1131,2299,0,11,28
34.7,2.0,0,8,24335,14626,4069,1131,2299,0,11,28
53.3,4.2,0,8,24335,14626,4069,1131,2299,0,11,28
58.9,6.5,0,8,24335,14626,4069,1131,2299,0,11,28
60.8,5.4,0,8,24359,16380,4069,1131,2366,0,11,28
46.0,3.0,0,8,24359,16380,4069,1131,2366,0,11,28
25.0,5.4,0,8,24359,16380,4069,1131,2366,0,11,28
43.8,6.5,0,8,24436,15699,4069,1131,2366,0,11,28
62.1,6.0,0,8,24436,15699,4069,1131,2366,0,11,28
41.1,3.0,0,8,24435,16321,4069,1131,2366,0,11,28
25.0,3.0,0,8,24435,16321,4069,1131,2366,0,11,28
33.9,5.0,0,8,24362,15879,4069,1131,2366,0,11,28
43.6,3.0,0,8,24362,15879,4069,1131,2366,0,11,28
59.0,5.4,0,8,24362,15879,4069,1131,2366,0,11,28
69.1,5.4,0,9,24375,16003,4069,1131,2434,0,10,28
65.0,6.8,0,8,24384,15820,3912,1131,2366,0,11,28
65.1,5.4,0,8,24384,15820,3912,1131,2366,0,11,28
61.7,6.78,0,8,24384,15820,3912,1131,2366,0,11,28
49.4,2.8,0,6,24422,15820,3941,1131,2366,0,11,28
67.8,5.3,0,6,24422,15820,3941,1131,2366,0,11,28
58.8,4.0,0,6,24422,15820,3941,1131,2366,0,11,28
25.0,5.4,0,8,24361,15820,2767,1131,2366,0,11,28
58.9,5.4,0,8,24361,15820,2767,1131,2366,0,11,28
43.3,3.0,0,8,24361,15820,2767,1131,2366,0,11,28
64.3,5.4,0,9,24405,15820,4069,483,2435,0,11,26
25.0,5.4,0,9,24405,15820,4069,483,2435,0,11,26
64.4,5.31,0,8,24477,15820,3541,1131,2366,0,11,28
65.0,6.8,0,8,24415,15820,3585,1131,2366,0,11,28
66.5,5.4,0,8,24415,15820,3585,1131,2366,0,11,28
63.5,6.78,0,8,24415,15820,3585,1131,2366,0,11,28
66.5,5.4,0,8,24415,15820,3585,1131,2366,0,11,28
44.0,3.0,0,8,24361,15820,2767,1131,2366,0,11,28
41.6,3.0,0,8,24361,15820,2767,1131,2366,0,11,28
46.5,3.02,0,8,24464,15820,4204,1131,2434,0,11,28
52.0,3.0,0,8,24464,15820,4204,1131,2434,0,11,28
44.0,3.0,0,8,24361,15820,4069,1209,2366,0,11,28
43.5,3.0,0,8,24361,15820,4069,1209,2366,0,11,28
66.6,5.4,0,8,24464,15820,4069,810,2434,0,11,28
61.6,5.4,0,8,24575,15820,4069,895,2434,0,11,28
39.4,3.0,0,8,24362,15820,3538,1131,2366,0,11,28
25.0,5.4,0,8,24362,15820,3538,1131,2366,0,11,28
56.5,5.4,0,8,24362,15820,3538,1131,2366,0,11,28
12.0,2.0,0,8,24401,15820,4069,-277,2435,0,11,28
22.0,7.0,0,8,24401,15820,4069,-277,2435,0,11,28
41.1,2.0,0,8,24401,15820,4069,-277,2435,0,11,28
51.5,3.0,0,8,24431,15820,4069,549,2435,0,11,28
67.9,5.4,0,7,24464,15820,4069,1197,2366,0,11,28
67.6,6.9,0,7,24464,15820,4069,1197,2366,0,11,28
40.6,2.0,0,7,24464,15820,4069,1197,2366,0,11,28
50.1,5.7,0,7,24464,15820,4069,1197,2366,0,11,28
53.9,3.0,0,7,24464,15820,4069,1197,2366,0,11,28
49.8,4.9,0,7,24464,15820,4069,1197,2366,0,11,28
62.4,6.7,0,8,24474,15820,4069,1014,2366,0,11,28
51.0,4.3,0,8,24474,15820,4069,1014,2366,0,11,28
62.3,6.7,0,8,24474,15820,4069,1014,2366,0,11,28
62.0,6.7,0,8,24474,15820,4069,1014,2366,0,11,28
39.2,2.0,0,8,24474,15820,4069,1014,2366,0,11,28
53.0,5.5,0,8,24362,15879,4069,1131,2366,0,11,28
62.7,5.45,0,8,24362,15879,4069,1131,2366,0,11,28
52.8,3.0,0,8,24395,17024,4069,1131,2433,0,11,28
25.0,6.7,0,8,24395,17024,4069,1131,2433,0,11,28
63.1,6.7,0,8,24395,17024,4069,1131,2433,0,11,28
66.1,5.45,0,8,24395,17024,4069,1131,2433,0,11,28
63.5,6.78,0,7,24428,15895,4069,1131,2366,0,11,28
65.0,6.8,0,7,24428,15895,4069,1131,2366,0,11,28
66.3,5.4,0,7,24428,15895,4069,1131,2366,0,11,28
25.0,6.7,0,7,24359,16403,4069,1131,2434,0,11,28
62.1,5.45,0,7,24359,16403,4069,1131,2434,0,11,28
48.7,3.0,0,7,24359,16403,4069,1131,2434,0,11,28
59.1,6.7,0,7,24359,16403,4069,1131,2434,0,11,28
52.0,6.7,0,8,24431,17018,4069,1131,2434,0,11,28
49.4,2.5,0,8,24431,17018,4069,1131,2434,0,11,28
38.4,3.0,0,8,24431,17018,4069,1131,2434,0,11,28
52.9,3.01,0,8,24431,17018,4069,1131,2434,0,11,28
45.1,3.3,0,8,24431,17018,4069,1131,2434,0,11,28
50.9,3.7,0,8,24431,17018,4069,1131,2434,0,11,28
53.3,3.8,0,8,24431,17018,4069,1131,2434,0,11,28
63.2,6.7,0,8,24431,17018,4069,1131,2434,0,11,28
52.8,3.0,0,8,24431,17018,4069,1131,2434,0,11,28
52.0,3.0,0,8,24445,16151,4069,1131,2366,0,11,28
51.3,3.01,0,8,24445,16151,4069,1131,2366,0,11,28
52.0,3.0,0,7,24464,15889,4069,1131,2366,0,11,28
51.4,3.01,0,7,24464,15889,4069,1131,2366,0,11,28
51.7,3.0,0,7,24494,16835,4069,1131,2366,0,11,28
52.0,3.0,0,7,24494,16835,4069,1131,2366,0,11,28
51.9,3.01,0,8,24542,16284,4069,1131,2434,0,11,28
52.0,3.0,0,8,24542,16284,4069,1131,2434,0,11,28
52.0,3.0,0,8,24405,15143,4069,1131,2366,0,11,28
50.1,3.01,0,8,24405,15143,4069,1131,2366,0,11,28
51.8,3.01,0,8,24506,16075,4069,1131,2366,0,11,28
52.0,3.0,0,8,24506,16075,4069,1131,2366,0,11,28
52.0,3.0,0,8,24508,16337,4069,1131,2434,0,11,28
52.6,3.01,0,8,24508,16337,4069,1131,2434,0,11,28
52.2,3.01,0,9,24510,16435,4069,1131,2366,0,11,28
52.0,3.0,0,9,24510,16435,4069,1131,2366,0,11,28
52.8,3.01,0,8,24507,16959,4069,1131,2434,0,11,28
52.0,3.0,0,8,24507,16959,4069,1131,2434,0,11,28
52.0,3.0,0,8,24510,16458,4069,1131,2434,0,11,28
52.6,3.01,0,8,24510,16458,4069,1131,2434,0,11,28
51.3,3.01,0,8,24474,15814,4069,1131,2366,0,11,28
52.0,3.0,0,8,24474,15814,4069,1131,2366,0,11,28
41.4,3.01,0,8,24468,15298,4069,1131,2366,0,11,28
52.0,3.0,0,8,24468,15298,4069,1131,2366,0,11,28
52.4,3.01,0,8,24500,16606,4069,1131,2366,0,11,28
52.0,3.0,0,8,24500,16606,4069,1131,2366,0,11,28
52.0,3.0,0,9,24564,16490,4069,1131,2366,0,11,28
52.4,3.01,0,9,24564,16490,4069,1131,2366,0,11,28
25.0,6.7,0,9,24375,16003,4069,1131,2435,0,10,28
56.9,4.8,0,9,24375,16003,4069,1131,2435,0,10,28
62.2,6.7,0,9,24375,16003,4069,1131,2435,0,10,28
53.1,3.0,0,9,24375,16003,4069,1131,2435,0,10,28
55.8,6.7,0,8,24362,15879,4069,1131,2366,0,11,28
58.9,5.45,0,8,24362,15879,4069,1131,2366,0,11,28
43.2,3.01,0,8,24362,15879,4069,1131,2366,0,11,28
43.3,3.0,0,8,24362,15879,4069,1131,2366,0,11,28
25.0,6.7,0,8,24362,15879,4069,1131,2366,0,11,28
54.7,4.5,0,8,24362,15879,4069,1131,2366,0,11,28
59.5,6.7,0,9,24405,16949,4069,1131,2434,0,11,28
50.8,3.0,0,9,24405,16949,4069,1131,2434,0,11,28
25.0,6.7,0,9,24405,16949,4069,1131,2434,0,11,28
56.9,4.8,0,9,24405,16949,4069,1131,2434,0,11,28
49.9,3.5,0,7,24359,16403,4069,1131,2433,0,10,28
25.0,6.7,0,7,24359,16403,4069,1131,2433,0,10,28
41.6,3.0,0,7,24359,16403,4069,1131,2433,0,10,28
56.9,4.8,0,7,24359,16403,4069,1131,2433,0,10,28
50.7,3.0,0,7,24359,16403,4069,1131,2433,0,10,28
60.5,6.7,0,7,24359,16403,4069,1131,2433,0,10,28
45.9,3.0,0,8,24361,16501,4069,1131,2366,0,11,28
38.3,4.5,0,8,24361,16501,4069,1131,2366,0,11,28
