tm,ph,sasa,charge,volume,helix,sheet,coil,n_phobic_contact,n_disulfide,n_saltbridge,n_hbond,n_pos-pos,n_pos-neutral,n_pos-special,n_pos-hydrophobic,n_neg-neg,n_neg-neutral,n_neg-special,n_neg-hydrophobic,n_neutral-neutral,n_neutral-special,n_neutral-hydrophobic,n_special-special,n_special-hydrophobic
58.5,6.0,33.81082330160774,8,15563,5479,176,1269,544,0,6,31,243,469,438,754,53,220,216,359,205,404,682,184,655
24.4,5.8,33.75078700319863,8,15556,6683,176,918,611,0,6,28,243,447,417,797,53,210,206,379,185,365,689,165,659
53.7,4.6,33.75078700319863,8,15556,6683,176,918,611,0,6,28,243,447,417,797,53,210,206,379,185,365,689,165,659
24.4,5.8,33.637374560395244,8,15631,5740,176,918,578,0,6,31,265,467,436,808,53,210,206,369,185,365,669,165,640
47.5,4.6,33.637374560395244,8,15631,5740,176,918,578,0,6,31,265,467,436,808,53,210,206,369,185,365,669,165,640
52.4,3.5,33.51829149545169,8,15633,6002,176,918,611,0,6,28,243,447,417,797,53,210,206,379,185,365,689,165,659
25.0,6.0,33.51829149545169,8,15633,6002,176,918,611,0,6,28,243,447,417,797,53,210,206,379,185,365,689,165,659
63.7,6.0,33.51829149545169,8,15633,6002,176,918,611,0,6,28,243,447,417,797,53,210,206,379,185,365,689,165,659
62.2,4.6,33.51829149545169,8,15633,6002,176,918,611,0,6,28,243,447,417,797,53,210,206,379,185,365,689,165,659
64.2,5.0,33.51829149545169,8,15633,6002,176,918,611,0,6,28,243,447,417,797,53,210,206,379,185,365,689,165,659
62.2,4.6,33.51829149545169,8,15633,6002,176,918,611,0,6,28,243,447,417,797,53,210,206,379,185,365,689,165,659
58.3,4.0,33.51829149545169,8,15633,6002,176,918,611,0,6,28,243,447,417,797,53,210,206,379,185,365,689,165,659
62.1,4.6,33.50884045855142,8,15632,6624,176,918,611,0,6,28,243,447,417,797,53,210,206,379,185,365,689,165,659
24.4,5.8,33.50884045855142,8,15632,6624,176,918,611,0,6,28,243,447,417,797,53,210,206,379,185,365,689,165,659
26.9,4.6,33.4313419559691,8,15635,6123,176,918,611,0,6,28,243,447,417,797,53,210,206,379,185,365,689,165,659
58.9,4.0,33.4313419559691,8,15635,6123,176,918,611,0,6,28,243,447,417,797,53,210,206,379,185,365,689,165,659
25.2,5.2,33.4313419559691,8,15635,6123,176,918,611,0,6,28,243,447,417,797,53,210,206,379,185,365,689,165,659
62.6,4.6,33.4313419559691,8,15635,6123,176,918,611,0,6,28,243,447,417,797,53,210,206,379,185,365,689,165,659
57.0,6.0,34.13117154524661,7,15632,6512,176,918,578,0,7,30,243,446,417,775,64,228,224,402,186,366,669,165,640
47.7,5.0,29.724963402012357,7,15597,5381,176,918,611,0,6,30,222,448,399,763,53,220,206,380,205,384,723,165,658
38.7,4.0,29.724963402012357,7,15597,5381,176,918,611,0,6,30,222,448,399,763,53,220,206,380,205,384,723,165,658
35.5,3.75,29.724963402012357,7,15597,5381,176,918,611,0,6,30,222,448,399,763,53,220,206,380,205,384,723,165,658
22.3,3.0,29.724963402012357,7,15597,5381,176,918,611,0,6,30,222,448,399,763,53,220,206,380,205,384,723,165,658
31.7,3.5,29.724963402012357,7,15597,5381,176,918,611,0,6,30,222,448,399,763,53,220,206,380,205,384,723,165,658
46.9,4.75,29.724963402012357,7,15597,5381,176,918,611,0,6,30,222,448,399,763,53,220,206,380,205,384,723,165,658
45.2,4.5,29.724963402012357,7,15597,5381,176,918,611,0,6,30,222,448,399,763,53,220,206,380,205,384,723,165,658
25.0,6.5,29.724963402012357,7,15597,5381,176,918,611,0,6,30,222,448,399,763,53,220,206,380,205,384,723,165,658
26.7,3.25,29.724963402012357,7,15597,5381,176,918,611,0,6,30,222,448,399,763,53,220,206,380,205,384,723,165,658
41.3,4.25,29.724963402012357,7,15597,5381,176,918,611,0,6,30,222,448,399,763,53,220,206,380,205,384,723,165,658
48.5,4.6,33.450261186817656,8,15536,5479,176,-169,578,0,6,31,243,469,417,775,53,220,206,369,205,384,702,165,640
48.6,4.6,32.04462598131038,8,15638,5479,176,-655,611,0,6,31,243,469,394,798,53,220,195,380,205,364,722,148,624
36.6,4.6,33.833886081436646,8,15523,5538,176,918,578,0,6,31,243,469,417,775,53,220,206,369,205,384,702,165,640
25.0,4.6,33.833886081436646,8,15523,5538,176,918,578,0,6,31,243,469,417,775,53,220,206,369,205,384,702,165,640
0.0,2.1,33.833886081436646,8,15523,5538,176,918,578,0,6,31,243,469,417,775,53,220,206,369,205,384,702,165,640
54.1,4.6,33.82305516480467,8,15600,4857,176,918,578,0,6,31,243,469,417,775,53,220,206,369,205,384,702,165,640
25.0,4.6,33.82305516480467,8,15600,4857,176,918,578,0,6,31,243,469,417,775,53,220,206,369,205,384,702,165,640
33.7,2.1,33.82305516480467,8,15600,4857,176,918,578,0,6,31,243,469,417,775,53,220,206,369,205,384,702,165,640
57.0,6.0,33.8315140901599,8,15569,6695,176,918,609,0,6,31,243,446,417,798,53,209,206,380,185,365,691,165,659
31.1,4.6,33.961704653063784,8,15488,6357,176,918,578,0,6,31,243,469,417,775,53,220,206,369,205,384,702,165,640
53.8,4.6,32.965642433324824,8,15599,5623,176,918,578,0,6,31,243,469,417,775,53,220,206,369,205,384,702,165,640
25.0,4.6,32.965642433324824,8,15599,5623,176,918,578,0,6,31,243,469,417,775,53,220,206,369,205,384,702,165,640
