pdb,tm,ph,sasa,charge,volume,helix,sheet,coil,n_phobic_contact,n_disulfide,n_saltbridge,n_hbond,n_pos-pos,n_pos-neutral,n_pos-special,n_pos-hydrophobic,n_neg-neg,n_neg-neutral,n_neg-special,n_neg-hydrophobic,n_neutral-neutral,n_neutral-special,n_neutral-hydrophobic,n_special-special,n_special-hydrophobic
17926,48.8,7.0,-0.2387608198937965,-9,17560,1198,9833,7345,1009,2,2,25,15,217,132,275,76,451,276,562,607,765,1593,227,965
17927,38.0,7.0,-0.2387608198937965,-9,17560,1198,9833,7345,1009,2,2,25,15,217,132,275,76,451,276,562,607,765,1593,227,965
17928,44.9,7.0,-0.2116752347466555,-9,17603,1198,9728,7345,964,2,2,25,15,224,132,268,76,464,276,549,643,785,1602,227,945
17929,47.7,7.0,-0.20845167444320545,-9,17596,1198,9740,6763,1009,2,2,26,15,217,132,275,76,451,276,562,608,764,1592,227,966
17930,25.0,7.0,-0.010457858790180005,-9,17553,2195,9740,7345,964,2,2,27,15,224,132,268,76,464,276,549,643,785,1602,227,945
17931,44.5,7.0,-0.010457858790180005,-9,17553,2195,9740,7345,964,2,2,27,15,224,132,268,76,464,276,549,643,785,1602,227,945
17932,43.0,7.0,-0.010457858790180005,-9,17553,2195,9740,7345,964,2,2,27,15,224,132,268,76,464,276,549,643,785,1602,227,945
17933,42.6,7.0,-0.06017189030768309,-9,17567,1328,9740,7345,920,2,2,27,15,224,138,262,76,464,288,537,643,820,1567,249,967
17934,25.0,7.0,-0.06017189030768309,-9,17567,1328,9740,7345,920,2,2,27,15,224,138,262,76,464,288,537,643,820,1567,249,967
17935,41.6,7.0,-0.06017189030768309,-9,17567,1328,9740,7345,920,2,2,27,15,224,138,262,76,464,288,537,643,820,1567,249,967
17936,35.6,7.0,0.00327891307649876,-9,17560,997,9740,7345,920,2,2,28,15,230,132,262,76,476,276,537,678,807,1611,227,923
17937,36.9,7.0,0.00327891307649876,-9,17560,997,9740,7345,920,2,2,28,15,230,132,262,76,476,276,537,678,807,1611,227,923
17938,25.0,7.0,0.00327891307649876,-9,17560,997,9740,7345,920,2,2,28,15,230,132,262,76,476,276,537,678,807,1611,227,923
17939,39.9,7.0,-0.011439056780656806,-9,17583,979,9740,7345,920,2,2,28,15,230,132,262,76,476,276,537,678,807,1611,227,923
17940,42.1,7.0,-0.011439056780656806,-9,17583,979,9740,7345,920,2,2,28,15,230,132,262,76,476,276,537,678,807,1611,227,923
17941,25.0,7.0,-0.011439056780656806,-9,17583,979,9740,7345,920,2,2,28,15,230,132,262,76,476,276,537,678,807,1611,227,923
17942,52.6,7.0,-0.3085663490113806,-9,17596,2396,9740,7345,1006,2,2,27,15,218,132,274,76,452,276,561,607,763,1596,227,967
17943,25.0,7.4,-0.05526590035529909,-9,17629,3073,9740,7345,1004,2,2,27,15,224,126,274,76,464,263,562,643,749,1638,206,926
17944,58.8,6.0,-0.1483678607759078,-9,17640,1338,9740,7345,964,2,2,27,15,224,132,268,76,464,276,549,643,785,1602,227,945
17945,51.7,7.0,0.35693292333511817,-8,17613,1027,9740,7345,964,2,3,26,20,254,153,309,76,451,276,549,608,764,1561,227,945
17946,52.1,7.0,0.35693292333511817,-8,17613,1027,9740,7345,964,2,3,26,20,254,153,309,76,451,276,549,608,764,1561,227,945
17947,44.0,9.7,0.35693292333511817,-8,17613,1027,9740,7345,964,2,3,26,20,254,153,309,76,451,276,549,608,764,1561,227,945
17948,25.0,7.0,0.35693292333511817,-8,17613,1027,9740,7345,964,2,3,26,20,254,153,309,76,451,276,549,608,764,1561,227,945
17949,46.6,8.6,0.35693292333511817,-8,17613,1027,9740,7345,964,2,3,26,20,254,153,309,76,451,276,549,608,764,1561,227,945
17950,54.0,6.5,0.35693292333511817,-8,17613,1027,9740,7345,964,2,3,26,20,254,153,309,76,451,276,549,608,764,1561,227,945
17951,56.9,6.0,0.35693292333511817,-8,17613,1027,9740,7345,964,2,3,26,20,254,153,309,76,451,276,549,608,764,1561,227,945
17952,61.2,5.0,0.35693292333511817,-8,17613,1027,9740,7345,964,2,3,26,20,254,153,309,76,451,276,549,608,764,1561,227,945
17953,15.0,6.0,-0.12207641438814142,-9,17566,1198,9740,5937,1006,2,2,27,15,224,128,272,76,464,263,562,643,751,1636,206,924
17954,54.3,7.0,-0.35417471812339585,-9,17603,1198,9728,7345,964,2,2,25,15,224,132,268,76,464,276,549,643,785,1602,227,945
17955,56.6,6.0,-0.10221492932411101,-9,17640,1198,9427,7345,964,2,2,27,15,224,132,268,76,464,276,549,643,785,1602,227,945
17956,45.4,7.0,-0.164753799897154,-9,17560,1198,9740,6880,1005,2,2,27,15,218,132,274,76,452,276,561,610,763,1594,227,967
