tm,ph,sasa,charge,volume,helix,sheet,coil,n_phobic_contact,n_disulfide,n_saltbridge,n_hbond,n_pos-pos,n_pos-neutral,n_pos-special,n_pos-hydrophobic,n_neg-neg,n_neg-neutral,n_neg-special,n_neg-hydrophobic,n_neutral-neutral,n_neutral-special,n_neutral-hydrophobic,n_special-special,n_special-hydrophobic
25.0,2.7,30.878308013841746,8,21356,13523,448,-2769,1960,4,2,39,185,580,448,1237,55,321,243,685,424,670,1861,248,1430
62.7,2.7,30.878308013841746,8,21356,13523,448,-2769,1960,4,2,39,185,580,448,1237,55,321,243,685,424,670,1861,248,1430
60.3,2.7,32.86149797575198,9,21385,13523,-1189,-2622,1899,4,4,40,205,609,470,1278,55,321,243,674,424,670,1832,248,1408
41.3,2.7,32.86149797575198,9,21385,13523,-1189,-2622,1899,4,4,40,205,609,470,1278,55,321,243,674,424,670,1832,248,1408
25.0,2.7,32.86149797575198,9,21385,13523,-1189,-2622,1899,4,4,40,205,609,470,1278,55,321,243,674,424,670,1832,248,1408
60.4,2.7,33.469644824430574,8,21418,13523,-1455,-2622,1838,4,4,41,205,609,470,1258,65,351,265,725,424,670,1802,248,1386
25.0,2.7,33.469644824430574,8,21418,13523,-1455,-2622,1838,4,4,41,205,609,470,1258,65,351,265,725,424,670,1802,248,1386
62.2,2.7,30.876077381536597,9,21496,13523,-374,-2622,1899,4,4,40,205,609,470,1278,55,321,243,674,424,670,1832,248,1408
25.0,2.7,30.876077381536597,9,21496,13523,-374,-2622,1899,4,4,40,205,609,470,1278,55,321,243,674,424,670,1832,248,1408
57.4,2.7,33.06719470398151,9,21359,13523,-1324,-2622,1838,4,4,40,205,609,490,1258,55,321,253,664,424,700,1802,270,1447
25.0,2.7,33.06719470398151,9,21359,13523,-1324,-2622,1838,4,4,40,205,609,490,1258,55,321,253,664,424,700,1802,270,1447
68.3,2.7,31.76146764652454,9,21462,13523,113,-2622,1899,4,4,40,205,609,470,1278,55,321,243,674,424,670,1832,248,1408
25.0,2.7,31.76146764652454,9,21462,13523,113,-2622,1899,4,4,40,205,609,470,1278,55,321,243,674,424,670,1832,248,1408
25.0,2.7,31.716750966474645,9,21461,13523,-658,-2622,1899,4,4,40,205,609,470,1278,55,321,243,674,424,670,1832,248,1408
