,tm,ph,sasa,charge,volume,helix,sheet,coil,n_phobic_contact,n_disulfide,n_saltbridge,n_hbond,n_pos-pos,n_pos-neutral,n_pos-special,n_pos-hydrophobic,n_neg-neg,n_neg-neutral,n_neg-special,n_neg-hydrophobic,n_neutral-neutral,n_neutral-special,n_neutral-hydrophobic,n_special-special,n_special-hydrophobic,e_angle,e_bond,e_dihedral,e_gb,e_elec,e_elec14,e_vdw,e_vdw14,e_tot
5134.pdb,43.0,5.0,24.310756915883392,6,20991,13736,6113,6680,1584,4,5,37,184,891,311,1114,45,449,153,563,999,712,2562,117,901,1388.74,1301.56,2844.61,-2740.09,-8895.29,5910.16,126.915,498.756,435.356
5135.pdb,38.2,6.0,24.788882645444243,6,20917,13736,5298,8088,1529,4,5,37,184,891,330,1095,45,449,163,553,999,757,2517,132,941,1525.25,1310.23,2955.37,-2523.92,-9000.42,5846.11,-31.5356,472.842,553.933
5136.pdb,45.0,5.0,24.790606031646018,6,20978,13736,4476,8088,1529,4,5,37,184,891,330,1095,45,449,163,553,999,757,2517,132,941,979.038,163.209,2675.86,-2532.07,-9172.71,5913.59,-694.696,450.521,-2217.25
5137.pdb,40.0,5.0,24.790606031646018,6,20978,13736,4476,8088,1529,4,5,37,184,891,330,1095,45,449,163,553,999,757,2517,132,941,942.769,161.596,2667.4,-2493.56,-9252.41,5942.19,-696.72,445.971,-2282.77
5138.pdb,49.8,5.0,24.79405280389008,6,20978,14733,6113,8088,1529,4,5,37,184,891,330,1095,45,449,163,553,999,757,2517,132,941,1034.79,171.527,2685.14,-2497.53,-9225.19,5919.67,-714.701,451.889,-2174.4
5139.pdb,40.0,5.0,24.79405280389008,6,20978,14733,6113,8088,1529,4,5,37,184,891,330,1095,45,449,163,553,999,757,2517,132,941,1100.63,159.999,2691.17,-2453.35,-9320.72,5974.43,-717.763,463.034,-2102.57
5140.pdb,40.0,5.0,24.79492078669485,6,20952,12858,6113,8088,1475,4,5,37,184,891,350,1075,45,449,172,544,999,802,2472,149,978,1094.39,164.033,2708.34,-2677.45,-9054.15,5969.37,-702.165,453.567,-2044.07
5141.pdb,40.8,5.0,24.79492078669485,6,20952,12858,6113,8088,1475,4,5,37,184,891,350,1075,45,449,172,544,999,802,2472,149,978,1088.63,161.939,2676.54,-2640.91,-9069.52,5950.16,-692.899,444.169,-2081.88
5142.pdb,40.0,5.0,24.78941098280367,6,21055,14052,6113,8088,1529,4,5,37,184,891,330,1095,45,449,163,553,999,757,2517,132,941,1009.44,155.132,2819.09,-2690.4,-9006.92,5993.81,-737.638,456.393,-2001.1
5143.pdb,55.4,5.0,24.78941098280367,6,21055,14052,6113,8088,1529,4,5,37,184,891,330,1095,45,449,163,553,999,757,2517,132,941,1048.99,232.017,2779.04,-2696.71,-9027.55,5972.66,-697.278,442.595,-1946.23
5144.pdb,40.0,5.0,24.789222290889587,6,21054,14674,6113,8088,1529,4,5,37,184,891,330,1095,45,449,163,553,999,757,2517,132,941,1183.74,200.027,2821.8,-2695.32,-8977.18,5876.87,-625.923,452.125,-1763.85
5145.pdb,54.7,5.0,24.789222290889587,6,21054,14674,6113,8088,1529,4,5,37,184,891,330,1095,45,449,163,553,999,757,2517,132,941,1075.38,202.286,2765.01,-2590.12,-9126.23,5883.87,-667.557,446.811,-2010.55
